date,datatype,source,author,region,district,location1,location2,type,label,description,text
42119,conventional,NA,UN/Sitrep1,central,kathmandu,NA,kathmandu airport,observation,transport,airport is open,"""The Kathmandu and Pokhara airport remains open. Some commercial flights appear to be coming in."""
42119,conventional,NA,UN/Sitrep1,central,kathmandu,NA,NA,observation,transport,status of roads unclear,"""Status of the feeder roads outside of Kathmandu Valley are still unclear."""
42119,conventional,NA,UN/Sitrep1,central,kavrepalanchok,NA,NA,observation,general assessment,area is affected,"""Among the most affected districts are"""
42119,conventional,NA,UN/Sitrep1,western,lamjung,NA,NA,observation,general assessment,area is very affected,"""Most affected areas are Gorkha and Lamjung Districts (north-west of Kathmandu)."""
42119,conventional,NA,UN/Sitrep1,western,lamjung,NA,NA,observation,shocks,epicenter of 7.8 magnitude earthquake at 11.56,"""At 11:56 local time, a 7.8 magnitude earthquake struck Nepal, with epicenter in Lamjung District (north-west) of Kathmandu; south of China border)."""
42119,conventional,government,UN/Sitrep1,western,lamjung,NA,NA,observation,medical,teams are sent to Lamjung,"""are sending medical teams to worst affected areas - Gorkha and Lamjung"""
42119,conventional,government,UN/Sitrep1,NA,NA,NA,NA,observation,casualties,700-1000 casualties,"""Latest government figures on total causalities are between 700-1000. This is expected to increase."""
42119,conventional,government,UN/Sitrep1,NA,NA,NA,NA,observation,general assessment,30 out of 75 districts affected,"""Total affected population not yet determined but 30 of 75 districts are reported to be affected."""
42119,conventional,UN field offices,UN/Sitrep1,eastern regions,NA,NA,NA,observation,general assessment,not badly affected,"""Initial reports from UN field offices are that the Eastern Region is not badly affected and Terrai has been minimally affected."""
42119,conventional,NA,UN/Sitrep1,NA,NA,NA,NA,observation,population behavior,people stay outside,"""Majority of population remaining outside houses due to fear of aftershocks and structural damage to buildings."""
42119,conventional,government,UN/Sitrep1,NA,NA,NA,NA,need,search&rescue,need for search & rescue teams,"""Government is currently reporting that needs include: Search and Rescue capacity"""
42119,conventional,government,UN/Sitrep1,NA,NA,NA,NA,need,medical,need for medical teams,"""Government is currently reporting that needs include: […] medical teams"""
42119,conventional,government,UN/Sitrep1,NA,NA,NA,NA,need,medical,need for emergency supplies,"""Government is currently reporting that needs include: […] supplies"""
42119,conventional,government,UN/Sitrep1,NA,NA,NA,NA,need,medical,need for tents,"""Government is currently reporting that needs include: […] tenting for hospitals"""
42119,conventional,government,UN/Sitrep1,NA,NA,NA,NA,need,medical,need for dead-body bags,"""Government is currently reporting that needs include: […] dead-body bags"""
42119,conventional,government,UN/Sitrep1,NA,NA,NA,NA,need,damage,need for clearing-up equipment,"""Government is currently reporting that needs include: […] heavy equipment for rubble removal"""
42119,conventional,government,UN/Sitrep1,NA,NA,NA,NA,need,transport,need for helicopters for access to remote areas,"""Government is currently reporting that needs include: […] helicopters for transport and access to remote areas"""
42119,conventional,government,UN/Sitrep1,NA,NA,NA,NA,observation,medical,all hospital staff mobilized,"""Government reports that all hospital staff mobilized"""
42119,conventional,government,UN/Sitrep1,NA,NA,NA,NA,observation,shelter,displaced camps in Kathmandu,"""Government is intending to set-up displaced camps in Kathmandu Valley and outside, where there are APF bases as these have established water supply and security."""
42119,conventional,government,UN/Sitrep1,NA,NA,NA,NA,need,nutrition,unclear on emergency food stocks,"""Government is unclear on emergency food stocks."""
42119,conventional,government,UN/Sitrep1,NA,NA,NA,NA,observation,damage,will mobilize construction sector for rubble removal,"""Government was requested to mobilize the construction sector for rubble removal."""
42119,conventional,government,UN/Sitrep1,NA,NA,NA,NA,observation,transport,unclarity about customs clearance re. aid,"""Government has been requested but is still unclear on expedited customs clearance for emergency crago and processes at the airport."""
42119,conventional,NA,UN/Sitrep1,central,nuwakot,NA,NA,observation,general assessment,area is affected,"""Among the most affected districts are"""
42119,conventional,NA,UN/Sitrep1,central,rasuwa,NA,NA,observation,general assessment,area is affected,"""Among the most affected districts are"""
42119,conventional,NA,UN/Sitrep1,central,sindhupalchok,NA,NA,observation,general assessment,area is affected,"""Among the most affected districts are"""
42120,conventional,NA,UN/Sitrep3,central,bhaktapur,NA,NA,observation,general assessment,added to list of most affected districts,"""The most affected districts are Dhading, Gorkha, Rasuwa, Sindhupalchowk, Kavre, Nuwakot, Dolakha, Kathmandu, Lalitpur, Bhaktapur and Ramecchap."""
42120,conventional,NA,UN/Sitrep3,central,dhading,NA,NA,observation,general assessment,added to list of most affected districts,"""The most affected districts are Dhading, Gorkha, Rasuwa, Sindhupalchowk, Kavre, Nuwakot, Dolakha, Kathmandu, Lalitpur, Bhaktapur and Ramecchap."""
42120,conventional,NA,UN/Sitrep2,western,gorkha,NA,NA,observation,medical,severe damage but unclear if hospitals operational,"""In Gorkha, damage is very severe though unclear whether hospitals are operational."""
42120,conventional,NA,UN/Sitrep2,western,gorkha,NA,NA,observation,damage,in some ares 80% houses destroyed,"""Four teams being sent to Gorkha where it is estimated that in some areas, 80% of houses are gone."""
42120,conventional,NA,UN/Sitrep2,central,kathmandu,NA,NA,need,medical,need for medical supplies,"""There is a need to replenish medical stocks to support health response efforts."""
42120,conventional,NA,UN/Sitrep2,central,kathmandu,NA,NA,observation,transport,"main roads overall accessible, limited for side roads","""Status of the main feeder roads outside of Kathmandu Valley are, overall, accessible. Access on side roads is damaged and limited."""
42120,conventional,NA,UN/Sitrep2,central,kathmandu,NA,NA,observation,medical,main hospitals functioning but overloaded,"""The main hospitals in KTM are still standing, and functioning, although overloaded"""
42120,conventional,NA,UN/Sitrep2,central,kathmandu,NA,NA,observation,medical,diarrhea,"""Post earthquake diseases are a concern - diarrhea is already an issue in Kathmandu Valley."""
42120,conventional,NA,UN/Sitrep2,central,kathmandu,NA,NA,observation,casualties,600 deaths in 3 hospitals,"""As of 7 am today there were 600 dead bodies in 3 hospitals in KTM."""
42120,conventional,NA,UN/Sitrep3,central,kathmandu,NA,NA,need,search&rescue,s&r for clearing up larger buildings,"""On 26 April, the Government requested international assistance, including Search and Rescue capacity, particularly for the Kathmandu Valley where larger buildings have collapsed"""
42120,conventional,NA,UN/Sitrep3,central,kathmandu,NA,NA,observation,medical,diseases because of exposure to elements,"""Post earthquake diseases are a concern - diarrhea is already an issue in Kathmandu Valley due to exposure to elements."""
42120,conventional,NA,UN/Sitrep3,central,kathmandu,NA,teku hospital,need,medical,fuel for generators of vaccine store,"""The LMD engineers have indicated they require 2000 litres of fuel for every 3.5 days of running time (33.3 litres per hour), and therefore need immediate assistance to ensure they can temperature-related damage to the vaccine."""
42120,conventional,NA,UN/Sitrep2,central,kavrepalanchok,dhulikhel,dhulikhel hospital,observation,medical,500 injured brought in; half still there,"""500 injured were brought to Dhulikhel hospital alone, of which 50% are still there."""
42120,conventional,NA,UN/Sitrep3,central,lalitpur,NA,NA,observation,general assessment,added to list of most affected districts,"""The most affected districts are Dhading, Gorkha, Rasuwa, Sindhupalchowk, Kavre, Nuwakot, Dolakha, Kathmandu, Lalitpur, Bhaktapur and Ramecchap."""
42120,conventional,government,UN/Sitrep2,NA,NA,NA,NA,observation,casualties,1900+ deaths and 5000+ injuries; increase expected,"""Government reporting over 1900 deaths and over 5000 injuries; this is expected to increase."""
42120,conventional,NA,UN/Sitrep2,NA,NA,NA,NA,observation,casualties,no confirmed figures on total affected population,"""No confirmed figures yet on affected populations in the affected areas."""
42120,conventional,NA,UN/Sitrep2,NA,NA,NA,NA,observation,population behavior,people stayed outside for the night,"""Majority of population remained outside houses for the first night"""
42120,conventional,NA,UN/Sitrep2,NA,NA,NA,NA,observation,general assessment,aftershocks,"""heavy aftershocks continued through the night"""
42120,conventional,NA,UN/Sitrep2,NA,NA,NA,NA,need,medical,many head and spinal injuries requiring airlifting,"""Immediate priorities are managing dead bodies and injured (many head and spinal injuries requiring airlifting)."""
42120,conventional,NA,UN/Sitrep2,NA,NA,NA,NA,need,medical,beds,"""There are not enough beds, many injured are treated on the ground."""
42120,conventional,NA,UN/Sitrep2,NA,NA,NA,NA,observation,medical,transportation/logistics difficult,"""International and local Health teams are being mobilized, however transportation and logistics is an issue."""
42120,conventional,NA,UN/Sitrep2,NA,NA,NA,NA,need,medical,"medical teams needed: surgeons, orthopedics, paramedics","""There is a need for surgeons, orthopedics, and paramedics, as well as logistics support."""
42120,conventional,NA,UN/Sitrep2,NA,NA,NA,NA,need,medical,logistics support,"""There is a need for surgeons, orthopedics, and paramedics, as well as logistics support."""
42120,conventional,NA,UN/Sitrep2,NA,NA,NA,NA,need,medical,field hospital tents,"""Field hopsital Tents are badly needed."""
42120,conventional,NA,UN/Sitrep2,NA,NA,NA,NA,need,medical,blankets,"""Blankets are also needed."""
42120,conventional,NA,UN/Sitrep2,NA,NA,NA,NA,need,medical,coordination,"""Many partners are offering tents but the requests need to be coordinated."""
42120,conventional,government,UN/Sitrep3,NA,NA,NA,NA,observation,casualties,2288 deaths and 5850 casualties,"""According to the Government, the earthquake caused 2,288 deaths. Over 5,500 people are injured."""
42120,conventional,NA,UN/Sitrep3,NA,NA,NA,NA,observation,shocks,6.7 magnitude earthquake at 12.54,"""Dozens of aftershocks followed, including a 6.7 magnitude earthquake on 26 April 2015 at 12.54 local time."""
42120,conventional,NA,UN/Sitrep3,NA,NA,NA,NA,observation,shocks,many aftershocks,"""Dozens of aftershocks followed, including a 6.7 magnitude earthquake on 26 April 2015 at 12.54 local time."""
42120,conventional,government,UN/Sitrep3,western,NA,NA,NA,observation,general assessment,areas affected,"""The Government reports that 35 of 75 districts are affected in the Western and Central Regions, including the Kathmandu Valley districts."""
42120,conventional,government,UN/Sitrep3,central,NA,NA,NA,observation,general assessment,areas affected,"""The Government reports that 35 of 75 districts are affected in the Western and Central Regions, including the Kathmandu Valley districts."""
42120,conventional,NA,UN/Sitrep3,NA,NA,NA,NA,observation,population behavior,people stay outside for 2nd night,"""The majority of people remain outside houses for the second consecutive night."""
42120,conventional,NA,UN/Sitrep3,NA,NA,NA,NA,need,medical,drugs and consumables needed,NA
42120,conventional,NA,UN/Sitrep3,NA,NA,NA,NA,need,medical,unclarity about amount of RM vaccines. Priority given to collecting stocks for outbreaks,"""There is currently no stock of MR vaccine at the central level, but a reported 2 months of stock on hand at RMS level. Given the possibility of a measles outbreak following the earthquake, procurement of MR vaccine is an immediate priority."""
42120,conventional,NA,UN/Sitrep2,central,nuwakot,NA,NA,observation,medical,some damage to hospitals,"""whereas some damage reported to hospitals in Ramechap, Nuwakot, Sindhupalchowk"""
42120,conventional,NA,UN/Sitrep2,central,ramechhap,NA,NA,observation,medical,some damage to hospitals,"""whereas some damage reported to hospitals in Ramechap, Nuwakot, Sindhupalchowk"""
42120,conventional,NA,UN/Sitrep3,central,ramechhap,NA,NA,observation,general assessment,added to list of most affected districts,"""The most affected districts are Dhading, Gorkha, Rasuwa, Sindhupalchowk, Kavre, Nuwakot, Dolakha, Kathmandu, Lalitpur, Bhaktapur and Ramecchap."""
42120,conventional,NA,UN/Sitrep2,central,sindhupalchok,NA,NA,observation,medical,some damage to hospitals,"""whereas some damage reported to hospitals in Ramechap, Nuwakot, Sindhupalchowk"""
42121,conventional,NA,UN/Sitrep4,central,bhaktapur,NA,NA,observation,general assessment,among the highest death counts,"""Most of the deaths are recorded in Bhaktapur, Kathmandu and Lalitpur."""
42121,conventional,NA,UN/Sitrep4,central,kathmandu,NA,NA,observation,general assessment,among the highest death counts,"""Most of the deaths are recorded in Bhaktapur, Kathmandu and Lalitpur."""
42121,conventional,NA,UN/Sitrep4,central,kathmandu,NA,NA,need,transport,fuel needed,"""With fuel reserves running low, cars and trucks are lining up at gas stations in town."""
42121,conventional,NA,UN/Sitrep4,central,kathmandu,NA,NA,observation,communication,mobile networks functional and providers offering free access,"""Mobile networks in Kathmandu remain functional."""
42121,conventional,NA,UN/Sitrep4,central,kathmandu,NA,kathmandu airport,observation,transport,congestion and delays,"""Congestion and delays in the processing of cargo entering the country at Kathmandu International Airport could hamper and slow down the international relief efforts."""
42121,conventional,NA,UN/Sitrep4,central,lalitpur,NA,NA,observation,general assessment,among the highest death counts,"""Most of the deaths are recorded in Bhaktapur, Kathmandu and Lalitpur."""
42121,conventional,government,UN/Sitrep4,NA,NA,NA,NA,observation,population behavior,rumors about upcoming aftershocks dismissed by government,"""On 27 April, the Government has issued a public statement dispelling rumors of another imminent large earthquake and encouraging people to return home, where possible."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,observation,population behavior,people still sleep outside,"""Many people continue to sleep outdoors."""
42121,conventional,government,UN/Sitrep4,NA,NA,NA,NA,observation,casualties,"3,351 deaths and 6,833 injuries","""Over the past 24 hours, the Government increased the number of deaths from 2,288 to 3,351 people. At the same time, the number of injured rose from 5,850 to 6,833 people."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,observation,general assessment,8 million people in 39 districts affected,"""According to initial estimations and based on the latest earthquake intensity mapping, 8 million people in 39 districts have been affected, of which over 2 million people live in the 11 severely affected districts."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,observation,general assessment,most damage in 11 districts; 2 million affected,"""According to initial estimations and based on the latest earthquake intensity mapping, 8 million people in 39 districts have been affected, of which over 2 million people live in the 11 severely affected districts."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,need,nutrition,1.4 million in need of food assistance; 750.000 of them live near epicenter in poor conditions,"""According to early indications, 1.4 million people are in need of food assistance. Of these, 750,000 people live near the epicenter in poor quality housing."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,observation,nutrition,impact on food security high,"""Impact on agriculture based livelihoods and food security is expected to be extremely high."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,need,nutrition,unclarity about national food stocks,"""Clarity on the use of existing food stocks from the Nepal Food Corporation (NFC) is required to determine levels of support required for food security."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,observation,medical,no intensive care unit beds available in hub hospitals,"""Hospital capacity is overwhelmed with no Intensive Care Unit (ICU) beds available in hub hospitals."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,need,medical,oxygen,"""Hospitals are require medical supplies, such as oxygen"""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,observation,transport,access to many affected areas extremely limited,"""Due to the mountainous geography, infrastructure damage, collapsed bridges and damaged roads, access to many of the affected areas is reported to be extremely limited."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,need,transport,clarity about status of roads,"""The status of the roads is unclear which may further intterrupt the delivery of humanitarian relief items."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,observation,shocks,large aftershocks continue,"""Large aftershocks continue to hit the region which could cause further damage to infrastructure already weakened by the initial earthquake."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,need,shelter,"tents, dignity kits, recreation kits","""Affected people need tents, dignity kits, recreation kits."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,need,population behavior,"psychosocial support, safe spaces (women/children)","""Urgent needs also include psychosocial support, the establishment of safe spaces, protection of women and children from gender based violence, family reunification of separate children and clothes for women and children."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,need,population behavior,reunification of parents and children,"""Urgent needs also include psychosocial support, the establishment of safe spaces, protection of women and children from gender based violence, family reunification of separate children and clothes for women and children."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,need,shelter,clothes for women and children,"""Urgent needs also include psychosocial support, the establishment of safe spaces, protection of women and children from gender based violence, family reunification of separate children and clothes for women and children."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,need,sanitation,"25,000 hygiene kits","""The Cluster requires the following additional supplies: 25,000 Hygiene kits, 20,000 Tarpaulin, 40 tanks of 2500 ltrs, two Generators for the operation of deep bore holes for water supply, 20,000 packets of aqua tabs, household water storage containers, additional emergency pumps and equipment."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,need,sanitation,"20,000 tarpaulin","""The Cluster requires the following additional supplies: 25,000 Hygiene kits, 20,000 Tarpaulin, 40 tanks of 2500 ltrs, two Generators for the operation of deep bore holes for water supply, 20,000 packets of aqua tabs, household water storage containers, additional emergency pumps and equipment."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,need,sanitation,40 tanks of 2500 liters,"""The Cluster requires the following additional supplies: 25,000 Hygiene kits, 20,000 Tarpaulin, 40 tanks of 2500 ltrs, two Generators for the operation of deep bore holes for water supply, 20,000 packets of aqua tabs, household water storage containers, additional emergency pumps and equipment."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,need,sanitation,two generators for the operation of deep bore holes for water supply,"""The Cluster requires the following additional supplies: 25,000 Hygiene kits, 20,000 Tarpaulin, 40 tanks of 2500 ltrs, two Generators for the operation of deep bore holes for water supply, 20,000 packets of aqua tabs, household water storage containers, additional emergency pumps and equipment."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,need,sanitation,"20,000 packets of aqua tabs","""The Cluster requires the following additional supplies: 25,000 Hygiene kits, 20,000 Tarpaulin, 40 tanks of 2500 ltrs, two Generators for the operation of deep bore holes for water supply, 20,000 packets of aqua tabs, household water storage containers, additional emergency pumps and equipment."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,need,sanitation,household water storage containers,"""The Cluster requires the following additional supplies: 25,000 Hygiene kits, 20,000 Tarpaulin, 40 tanks of 2500 ltrs, two Generators for the operation of deep bore holes for water supply, 20,000 packets of aqua tabs, household water storage containers, additional emergency pumps and equipment."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,need,sanitation,additional emergency pumps and equiment,"""The Cluster requires the following additional supplies: 25,000 Hygiene kits, 20,000 Tarpaulin, 40 tanks of 2500 ltrs, two Generators for the operation of deep bore holes for water supply, 20,000 packets of aqua tabs, household water storage containers, additional emergency pumps and equipment."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,need,communication,radios,"""There is a need to better determine the needs of the affected population to support development of specific sector messages. In addition, equipment, such as radios, is required to distribute to camps and communities to facilitate communications."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,observation,communication,communication to population in affected areas via radio focusing on aftershocks/community support,"""Radio programming has begun on multiple radio stations reaching affected populations focusing on key messages on aftershocks and community support."""
42121,conventional,NA,UN/Sitrep4,NA,NA,NA,NA,observation,population behavior,rumors about aftershocks,"""there have been rumors circulating in communities, focused on the frequency of aftershocks"""
42122,conventional,NA,UN/Sitrep5,central,dhading,NA,NA,observation,nutrition,food assistance already dispatched,"""The cluster has dispatched food assistance to Gorkha and Dhading with existin gin country food stocks"""
42122,conventional,NA,UN/Sitrep5,central,dhading,NA,NA,observation,damage,at least 90% of houses are damaged,"""A scoping mission conducted in Gorkha, Lamjung and Dhading, where at least 90 percent of the houses are damaged"""
42122,conventional,NA,UN/Sitrep5,central,dolakha,district head quarters,NA,observation,medical,hospitals partially damaged,"""the hospitals in DHQ of Dolakha, Nuwakot are partially damaged"""
42122,conventional,NA,UN/Sitrep5,western,gorkha,NA,NA,observation,damage,80% of infrastructure affected,"""Clarity is required to identify site/camp set up in Gorkha district where 80 per cent of the infrastructure has been affected."""
42122,conventional,NA,UN/Sitrep5,western,gorkha,NA,NA,need,shelter,need to identify location for camp,"""Clarity is required to identify site/camp set up in Gorkha district where 80 per cent of the infrastructure has been affected."""
42122,conventional,NA,UN/Sitrep5,western,gorkha,NA,NA,observation,nutrition,food assistance already dispatched,"""The cluster has dispatched food assistance to Gorkha and Dhading with existin gin country food stocks"""
42122,conventional,NA,UN/Sitrep5,western,gorkha,outside district headquarters,NA,observation,medical,60-90% of healthcare facilities severely damaged,"""In terms of health infrastructure, preliminary information ondicated that most of the health facilities (60-90% outside the district headquarters (DHQ) of Ramecchapp, Nuwakot, Sindhupalchowk and Gorkha have been severely damaged"""
42122,conventional,NA,UN/Sitrep5,western,gorkha,NA,NA,observation,damage,at least 90% of houses are damaged,"""A scoping mission conducted in Gorkha, Lamjung and Dhading, where at least 90 percent of the houses are damaged"""
42122,conventional,NA,UN/Sitrep5,central,kathmandu,NA,NA,observation,communication,mobile networks functional but outage and overloads,"""Mobile networks in Kathmandu remain functional. However, network outage and overloads remain common."""
42122,conventional,NA,UN/Sitrep5,central,kathmandu,NA,NA,observation,population behavior,people move to family in non-affected areas,"""many people are leaving Kathmandu Valley and returning to families in areas, which have not been affected by the earthquake."""
42122,conventional,NA,UN/Sitrep5,central,kathmandu,NA,kathmandu airport,observation,transport,serves as main logistics hub,"""The Kathmandu International Airport is open 24 hours and serves as the main logistics hub."""
42122,conventional,NA,UN/Sitrep5,central,kathmandu,NA,kathmandu airport,observation,transport,airport is congested due to large outflow (foreigners) and inflow (aid),"""However, due to incoming goods and response teams, as well as departing people, including many foreigners, the Airport is congested."""
42122,conventional,NA,UN/Sitrep5,central,kathmandu,NA,NA,need,shelter,shelter and sanitation,"""Shelter, WASH and protection mechanisms in the 16 camps have not yet been established or are not functioning at optimum capacity due to the Urban Search and Rescue (USAR) phase."""
42122,conventional,NA,UN/Sitrep5,central,kathmandu,NA,kathmandu airport,observation,transport,airport remains congested,"""Due to incoming goods and response teams, as well as outgoing foreigners, the Tribhuvan International Airport remains congested."""
42122,conventional,NA,UN/Sitrep5,central,kathmandu,NA,kathmandu airport,need,transport,jet fuel,"""There are concerns regarding the limited availability of jet fuel at the airport."""
42122,conventional,NA,UN/Sitrep5,central,kathmandu,NA,camps,need,sanitation,chlorination materials,"""The water quality provided by the private tankers do not meet the safe drinking water standards and the distribution of chlorination materials is urgently needed in the 16 Kathmandu camps where water from private tankers are being distributed."""
42122,conventional,NA,UN/Sitrep5,western,lamjung,NA,NA,observation,damage,at least 90% of houses are damaged,"""A scoping mission conducted in Gorkha, Lamjung and Dhading, where at least 90 percent of the houses are damaged"""
42122,conventional,NA,UN/Sitrep5,NA,NA,NA,NA,observation,population behavior,people still sleep outside,"""Aftershocks continue to affect the daily lives of people as they continue to sleep outdoors, in damp and cold conditions."""
42122,conventional,NA,UN/Sitrep5,NA,NA,NA,NA,observation,shocks,continued aftershocks,"""Aftershocks continue to affect the daily lives of people as they continue to sleep outdoors, in damp and cold conditions."""
42122,conventional,NA,UN/Sitrep5,NA,NA,NA,NA,observation,general assessment,damp/cold weather,"""Aftershocks continue to affect the daily lives of people as they continue to sleep outdoors, in damp and cold conditions."""
42122,conventional,government,UN/Sitrep5,NA,NA,NA,NA,observation,casualties,"4,358 deaths and 8,174 injured","""Over the past 24 hours, the Government reported an increase in the number of deaths from 3,351 to 4,358 people. At the same tme, the number of injured has risen from 6,833 to 8,174 people."""
42122,conventional,NA,UN/Sitrep5,NA,NA,NA,NA,need,nutrition,food needed,"""Immediate needs include food, shelter, WASH, as well as medical tents, meication, surgical kits and body bags."""
42122,conventional,NA,UN/Sitrep5,NA,NA,NA,NA,need,shelter,shelters needed,"""Immediate needs include food, shelter, WASH, as well as medical tents, meication, surgical kits and body bags."""
42122,conventional,NA,UN/Sitrep5,NA,NA,NA,NA,need,sanitation,sanitation facilities needed,"""Immediate needs include food, shelter, WASH, as well as medical tents, meication, surgical kits and body bags."""
42122,conventional,NA,UN/Sitrep5,NA,NA,NA,NA,need,medical,"body bags, surgical kits","""Immediate needs include food, shelter, WASH, as well as medical tents, meication, surgical kits and body bags."""
42122,conventional,NA,UN/Sitrep5,NA,NA,NA,NA,observation,transport,major roads all open for traffic,"""All major roads are open for traffic"""
42122,conventional,NA,UN/Sitrep5,NA,NA,NA,NA,observation,transport,some side roads remain blocked,"""However, some side access roads remain blocked."""
42122,conventional,NA,UN/Sitrep5,NA,NA,NA,NA,need,medical,fuel for generators,"""Fuel is also needed to pump water from the ground and maintain services at hospitals and other critical facilities facing frequent power outages."""
42122,conventional,NA,UN/Sitrep5,NA,NA,NA,NA,need,sanitation,fuel to pump water,"""Fuel is also needed to pump water from the ground and maintain services at hospitals and other critical facilities facing frequent power outages."""
42122,conventional,NA,UN/Sitrep5,NA,NA,NA,NA,observation,general assessment,8.1 million affected in total (model estimation),"""[table with figures] These figures are based solely on baseline data and models. These are indicative figures which can be used only for preliminary planning."""
42122,conventional,NA,UN/Sitrep5,NA,NA,NA,NA,observation,general assessment,"640,000 households with shelter damage (model estimation)","""[table with figures] These figures are based solely on baseline data and models. These are indicative figures which can be used only for preliminary planning."""
42122,conventional,NA,UN/Sitrep5,NA,NA,NA,NA,observation,general assessment,"2,8 million affected by damaged homes (model estimation)","""[table with figures] These figures are based solely on baseline data and models. These are indicative figures which can be used only for preliminary planning."""
42122,conventional,NA,UN/Sitrep5,NA,NA,NA,NA,need,children,safe places to play,"""Affected children need to access safe places to play, receive psychosocial support and livesaving messages."""
42122,conventional,NA,UN/Sitrep5,NA,NA,NA,NA,need,children,psychosocial support,"""Affected children need to access safe places to play, receive psychosocial support and livesaving messages."""
42122,conventional,NA,UN/Sitrep5,NA,NA,NA,NA,observation,damage,huge proportion of schools damaged,"""Initial reports from affected districts indicate that a huge proportion of school facilities have been totally destroyed or severely damaged due to the earthquake."""
42122,conventional,NA,UN/Sitrep5,NA,NA,NA,NA,observation,shelter,schools still standing used as shelters,"""Schools that are still standing are being used as shelters by displaced populations."""
