date,source,author,region,district,location1,location2,type,label,description,text,link
25-Apr,news media,HR/Sitrep1,NA,NA,NA,NA,observation,general assessment,"688 people confirmed dead, says Nepali police","According to Nepal Police At least 688 people were confirmed dead in Nepal. Another 20 were killed in India, six in Tibet and two in Bangladesh. Two Chinese citizens died at the Nepal-China border. Given the scale of the destruction, the death toll is almost certain to rise, said Home Ministry official Laxmi Dhakal.",http://www.wbur.org/2015/04/25/quake-nepal
25-Apr,twitter,HR/Sitrep1,eastern,solukhumbu,everest,makalu base camp,observation,damage,south side of base camp destroyed; all teams safe but stuck,"South side of #Everest #Makalu base camp completely destroyed, #Everest all teams in camp 1 & 2 are reporting safe but stuck because destroyed route",https://twitter.com/NorthmenPK/status/591948785770565632
25-Apr,news media,HR/Sitrep1,eastern,solukhumbu,everest,NA,observation,casualties,"1,000 climbers including 400 foreigners at basecamp/on Everest during earthquake","Nepalese tourism official Gyanendra Shrestha reported to Reuters, ""The toll could go up, it may include foreigners as well as sherpas (guides),""Ministry officials estimated that at least 1,000 climbers, including about 400 foreigners, had been at base camp or on Everest when the earthquake struck.",http://uk.reuters.com/article/2015/04/25/uk-quake-nepal-everest-idUKKBN0NG0AM20150425
25-Apr,news media,HR/Sitrep1,eastern,solukhumbu,everest,NA,observation,general assessment,avalanche between khumbu icefall and base camp,"Ang Tshering of the Nepal Mountaineering Association, told Sky News “that the avalanche apparently happened between the Khumbu Icefall and base camp”",https://www.thebmc.co.uk/earthquake-triggers-avalanche-on-everest
26-Apr,personal contacts/email,HR/Sitrep2,central,kathmandu,,ashram orphanage,need,children,"100 children in need of water, food, shelter","Ashram Orphanage (coordinates: 27.684744,85.285492) Ashram staff report that 100 children in need of water, food and shelter after severe damage to orphanage www.auronepal.net. via email sent to Humanityroad requesting help.",NA
26-Apr,facebook,HR/Sitrep2,central,kathmandu,dhulikhel area,,need,medical,medical transport for girl with head fracture,Medical Transport (coordinates: Dhulikhel area) Need medical transport for girl with head fracture,https://www.facebook.com/shashankji/posts/10152447674472824
26-Apr,personal contacts/email,HR/Sitrep2,central,kathmandu,,DDC Dairy Corp,need,children,"45 orphans and caretakers in  need of food, water, shelter","Near DDC Dairy Corp (coordinates: 27.717527, 85.315946) Group of 45 orphans and caretakers without food, water and shelter. Moving between buildings and nearby fields for shelter - near DDC dairy Corp - via email to Humanityroad requesting help.",NA
26-Apr,twitter,HR/Sitrep2,central,kathmandu,NA,cremation site,observation,medical,site filled with bodies; unable to cut wood for cremating bodies,"Pashupati Ghat, Khatmandu - (the cremation site inside the Pashupatinath temple on the banks of river Bagmati, in the Gaushala/chahbil area). (coordinates: 27.709722, 85.348611) Radio reports Pashupati Ghat is filled with bodies. They haven't been able to cut wood to cremate bodies because of a lack of electricity.",https://twitter.com/ShiwaniNeupane/status/592243458590408704
26-Apr,twitter,HR/Sitrep2,central,kathmandu,thaiti,NA,need,nutrition,100 people need food,"Thaiti, in Khatmandu. Unconfirmed report that about 100 people need food.",https://twitter.com/AyonNepal/status/592221989311393792
26-Apr,twitter,HR/Sitrep2,central,kathmandu,NA,bir hospital,need,medical,list of medical supplies needed,"Bir Hospital (coordinates 27.705005,85.31346) List of Medical Supplies needed",https://twitter.com/Shah_Amit_/status/592405894450778112
26-Apr,twitter,HR/Sitrep2,central,kathmandu,sankhu,NA,observation,damage,90% of buildings collapsed,"Sankhu, Khatmandu district (coordinates: 27.513321,85.335869). Main town of Pukhulachhi Village Development Committee (VDC) in the northwestern Kathmandu Valley of Nepal. Unconfirmed reports that 90% of buildings have been destroyed, 400 people have died, there is no ambulance, and no rescue teams have arrived.",https://twitter.com/annemiekkrogt/status/592211617825345538 https://twitter.com/annemiekkrogt/status/592064559562813441 
26-Apr,twitter,HR/Sitrep2,central,kathmandu,sankhu,NA,observation,casualties,400 people died,"Sankhu, Khatmandu district (coordinates: 27.513321,85.335869). Main town of Pukhulachhi Village Development Committee (VDC) in the northwestern Kathmandu Valley of Nepal. Unconfirmed reports that 90% of buildings have been destroyed, 400 people have died, there is no ambulance, and no rescue teams have arrived.",https://twitter.com/annemiekkrogt/status/592211617825345538 https://twitter.com/annemiekkrogt/status/592064559562813441 
26-Apr,twitter,HR/Sitrep2,central,kathmandu,sankhu,NA,need,medical,need for ambulance,"Sankhu, Khatmandu district (coordinates: 27.513321,85.335869). Main town of Pukhulachhi Village Development Committee (VDC) in the northwestern Kathmandu Valley of Nepal. Unconfirmed reports that 90% of buildings have been destroyed, 400 people have died, there is no ambulance, and no rescue teams have arrived.",https://twitter.com/annemiekkrogt/status/592211617825345538 https://twitter.com/annemiekkrogt/status/592064559562813441 
26-Apr,twitter,HR/Sitrep2,central,kathmandu,sankhu,NA,need,search&rescue,need for rescue teams,"Sankhu, Khatmandu district (coordinates: 27.513321,85.335869). Main town of Pukhulachhi Village Development Committee (VDC) in the northwestern Kathmandu Valley of Nepal. Unconfirmed reports that 90% of buildings have been destroyed, 400 people have died, there is no ambulance, and no rescue teams have arrived.",https://twitter.com/annemiekkrogt/status/592211617825345538 https://twitter.com/annemiekkrogt/status/592064559562813441 
26-Apr,facebook,HR/Sitrep2,central,kathmandu,NA,tribhuvan university teaching hospital,observation,medical,people transported from Sindhupalchowk,"Tribhuvan University Teaching Hospital (coordinates: 27.680790,85.283760) - “This could be my last message until Electricity is restored. I walk this ghostly hallways up and down dont know what to do.Sometime I feel like this all is a dream. people suffering,hurting and in pain everywhere. A bus full of injured just arrived from Sindhupalchok, 36 hours and god knows how many thousands are waiting in dark isolated places. there are 270 dead bodies cramped in rooms next to where our desk is.Time and again we run out of medicines,water, food, mask, gloves and what not. People are sleeping in open and prone to all kind of diseases. This is heavy ....... Very heavy ! Sigh …”",https://www.facebook.com/BECOMING.MAX/posts/10155487871880635
26-Apr,facebook,HR/Sitrep2,central,kathmandu,NA,tribhuvan university teaching hospital,observation,casualties,270 dead bodies in hospital,"Tribhuvan University Teaching Hospital (coordinates: 27.680790,85.283760) - “This could be my last message until Electricity is restored. I walk this ghostly hallways up and down dont know what to do.Sometime I feel like this all is a dream. people suffering,hurting and in pain everywhere. A bus full of injured just arrived from Sindhupalchok, 36 hours and god knows how many thousands are waiting in dark isolated places. there are 270 dead bodies cramped in rooms next to where our desk is.Time and again we run out of medicines,water, food, mask, gloves and what not. People are sleeping in open and prone to all kind of diseases. This is heavy ....... Very heavy ! Sigh …”",https://www.facebook.com/BECOMING.MAX/posts/10155487871880635
26-Apr,facebook,HR/Sitrep2,central,kathmandu,NA,tribhuvan university teaching hospital,need,medical,lack of medicine/medical equipment,"Tribhuvan University Teaching Hospital (coordinates: 27.680790,85.283760) - “This could be my last message until Electricity is restored. I walk this ghostly hallways up and down dont know what to do.Sometime I feel like this all is a dream. people suffering,hurting and in pain everywhere. A bus full of injured just arrived from Sindhupalchok, 36 hours and god knows how many thousands are waiting in dark isolated places. there are 270 dead bodies cramped in rooms next to where our desk is.Time and again we run out of medicines,water, food, mask, gloves and what not. People are sleeping in open and prone to all kind of diseases. This is heavy ....... Very heavy ! Sigh …”",https://www.facebook.com/BECOMING.MAX/posts/10155487871880635
26-Apr,facebook,HR/Sitrep2,central,kathmandu,NA,tribhuvan university teaching hospital,need,sanitation,lack of water,"Tribhuvan University Teaching Hospital (coordinates: 27.680790,85.283760) - “This could be my last message until Electricity is restored. I walk this ghostly hallways up and down dont know what to do.Sometime I feel like this all is a dream. people suffering,hurting and in pain everywhere. A bus full of injured just arrived from Sindhupalchok, 36 hours and god knows how many thousands are waiting in dark isolated places. there are 270 dead bodies cramped in rooms next to where our desk is.Time and again we run out of medicines,water, food, mask, gloves and what not. People are sleeping in open and prone to all kind of diseases. This is heavy ....... Very heavy ! Sigh …”",https://www.facebook.com/BECOMING.MAX/posts/10155487871880635
26-Apr,twitter,HR/Sitrep2,western,gorkha,NA,NA,observation,damage,80% of buildings destroyed,Reports of 80% of parts of Gorkha destroyed and search & rescue and medical help urgently needed,https://twitter.com/NavinSinghKhadk/status/592021375554068481
26-Apr,twitter,HR/Sitrep2,western,gorkha,NA,NA,need,search&rescue,manpower for s&r needed,Reports of 80% of parts of Gorkha destroyed and search & rescue and medical help urgently needed,https://twitter.com/NavinSinghKhadk/status/592021375554068481
26-Apr,twitter,HR/Sitrep2,western,gorkha,NA,NA,need,medical,medical help needed,Reports of 80% of parts of Gorkha destroyed and search & rescue and medical help urgently needed,https://twitter.com/NavinSinghKhadk/status/592021375554068481
26-Apr,twitter,HR/Sitrep2,western,gorkha,NA,NA,observation,casualties,94 deaths counted,"According to the Gorkha Police District Office, 94 died so far in Gorkha. Rescue is going on but more manpower is needed",https://twitter.com/stefan_poikonen/status/591998357821902850
26-Apr,twitter,HR/Sitrep3,western,gorkha,NA,NA,need,search&rescue,manpower for s&r needed,"According to the Gorkha Police District Office, 94 died so far in Gorkha. Rescue is going on but more manpower is needed",https://twitter.com/stefan_poikonen/status/591998357821902850
26-Apr,facebook,HR/Sitrep2,western,gorkha,thalidada village,NA,observation,damage,all houses destroyed,"“We are stuck in a village between Barpak and Balua in Gorkha region...we are in the plains. Exact location is near Thalidada village, which is also near to Mandre village. Also I can't contact anyone, network is really bad. Embassy numbers not reachable. Battery is going to die soon. Please try to help. People are homeless, no food, all houses are destroyed, many are hurt badly, some people died in front of us, still ground is shaking every 15-30 minutes.”",https://www.facebook.com/confessionofnepaliteenagers/photos/a.587756164672973.1073741829.507013516080572/782475165201071/?type=1
26-Apr,facebook,HR/Sitrep2,western,gorkha,thalidada village,NA,observation,shelter,people are homeless,"“We are stuck in a village between Barpak and Balua in Gorkha region...we are in the plains. Exact location is near Thalidada village, which is also near to Mandre village. Also I can't contact anyone, network is really bad. Embassy numbers not reachable. Battery is going to die soon. Please try to help. People are homeless, no food, all houses are destroyed, many are hurt badly, some people died in front of us, still ground is shaking every 15-30 minutes.”",https://www.facebook.com/confessionofnepaliteenagers/photos/a.587756164672973.1073741829.507013516080572/782475165201071/?type=2
26-Apr,facebook,HR/Sitrep2,western,gorkha,thalidada village,NA,observation,shocks,aftershocks felt every 15-30mins,"“We are stuck in a village between Barpak and Balua in Gorkha region...we are in the plains. Exact location is near Thalidada village, which is also near to Mandre village. Also I can't contact anyone, network is really bad. Embassy numbers not reachable. Battery is going to die soon. Please try to help. People are homeless, no food, all houses are destroyed, many are hurt badly, some people died in front of us, still ground is shaking every 15-30 minutes.”",https://www.facebook.com/confessionofnepaliteenagers/photos/a.587756164672973.1073741829.507013516080572/782475165201071/?type=3
26-Apr,facebook,HR/Sitrep2,western,gorkha,thalidada village,NA,need,nutrition,people need food,"“We are stuck in a village between Barpak and Balua in Gorkha region...we are in the plains. Exact location is near Thalidada village, which is also near to Mandre village. Also I can't contact anyone, network is really bad. Embassy numbers not reachable. Battery is going to die soon. Please try to help. People are homeless, no food, all houses are destroyed, many are hurt badly, some people died in front of us, still ground is shaking every 15-30 minutes.”",https://www.facebook.com/confessionofnepaliteenagers/photos/a.587756164672973.1073741829.507013516080572/782475165201071/?type=4
26-Apr,facebook,HR/Sitrep2,western,gorkha,thalidada village,NA,need,medical,"many badly hurt, need help","“We are stuck in a village between Barpak and Balua in Gorkha region...we are in the plains. Exact location is near Thalidada village, which is also near to Mandre village. Also I can't contact anyone, network is really bad. Embassy numbers not reachable. Battery is going to die soon. Please try to help. People are homeless, no food, all houses are destroyed, many are hurt badly, some people died in front of us, still ground is shaking every 15-30 minutes.”",https://www.facebook.com/confessionofnepaliteenagers/photos/a.587756164672973.1073741829.507013516080572/782475165201071/?type=5
26-Apr,online community,HR/Sitrep2,western,gorkha,barpak,NA,observation,damage,all but 4 of 1200 houses destroyed,"Barpak (coordinates:28.210368,84.742003) - Barpak is a village situated in the northern part of the Gorkha district. It is located about 1900 m above sea level. Report of all but 4 of the 1200 houses destroyed. Village has been reached by helicopter and 120 wounded evacuated.",http://umap.openstreetmap.fr/fr/map/nepal-earthquake-damage-please-see-httpquakemaporg_37698#13/28.2081/84.7751
26-Apr,facebook,HR/Sitrep2,western,gorkha,NA,NA,observation,damage,catastrophical damage and no access in remote parts of gorkha,"Villages in remote parts of Gorkha have catastrophic damage and no access to medical help. Areas are inaccessible due to destroyed roads. Several villages on hills completely fell off. Villagers are stranded and need medical help, food, water, shelter, and search and rescue help. People are still trapped.",https://m.ak.fbcdn.net/sphotos-h.ak/hphotos-ak-xpf1/v/t1.0-9/s600x600/11150174_938256086207003_242803472
26-Apr,facebook,HR/Sitrep2,western,gorkha,NA,NA,need,medical,medical aid needed,"Villages in remote parts of Gorkha have catastrophic damage and no access to medical help. Areas are inaccessible due to destroyed roads. Several villages on hills completely fell off. Villagers are stranded and need medical help, food, water, shelter, and search and rescue help. People are still trapped.",https://m.ak.fbcdn.net/sphotos-h.ak/hphotos-ak-xpf1/v/t1.0-9/s600x600/11150174_938256086207003_242803473
26-Apr,facebook,HR/Sitrep2,western,gorkha,NA,NA,need,nutrition,food needed,"Villages in remote parts of Gorkha have catastrophic damage and no access to medical help. Areas are inaccessible due to destroyed roads. Several villages on hills completely fell off. Villagers are stranded and need medical help, food, water, shelter, and search and rescue help. People are still trapped.",https://m.ak.fbcdn.net/sphotos-h.ak/hphotos-ak-xpf1/v/t1.0-9/s600x600/11150174_938256086207003_242803474
26-Apr,facebook,HR/Sitrep2,western,gorkha,NA,NA,need,sanitation,water needed,"Villages in remote parts of Gorkha have catastrophic damage and no access to medical help. Areas are inaccessible due to destroyed roads. Several villages on hills completely fell off. Villagers are stranded and need medical help, food, water, shelter, and search and rescue help. People are still trapped.",https://m.ak.fbcdn.net/sphotos-h.ak/hphotos-ak-xpf1/v/t1.0-9/s600x600/11150174_938256086207003_242803475
26-Apr,facebook,HR/Sitrep2,western,gorkha,NA,NA,need,shelter,shelter needed,"Villages in remote parts of Gorkha have catastrophic damage and no access to medical help. Areas are inaccessible due to destroyed roads. Several villages on hills completely fell off. Villagers are stranded and need medical help, food, water, shelter, and search and rescue help. People are still trapped.",https://m.ak.fbcdn.net/sphotos-h.ak/hphotos-ak-xpf1/v/t1.0-9/s600x600/11150174_938256086207003_242803476
26-Apr,facebook,HR/Sitrep2,western,gorkha,NA,NA,need,search&rescue,s&r help,"Villages in remote parts of Gorkha have catastrophic damage and no access to medical help. Areas are inaccessible due to destroyed roads. Several villages on hills completely fell off. Villagers are stranded and need medical help, food, water, shelter, and search and rescue help. People are still trapped.",https://m.ak.fbcdn.net/sphotos-h.ak/hphotos-ak-xpf1/v/t1.0-9/s600x600/11150174_938256086207003_242803477
26-Apr,twitter,HR/Sitrep2,central,lalitpur,NA,NA,observation,general assessment,no power,No power and no water supply.,https://twitter.com/brabimkumar/status/591959223182888961
26-Apr,twitter,HR/Sitrep2,central,lalitpur,NA,NA,observation,sanitation,no water supply,No power and no water supply.,https://twitter.com/brabimkumar/status/591959223182888961
26-Apr,twitter,HR/Sitrep2,central,lalitpur,chyasal,NA,need,nutrition,group in need of food,"Near Chyasal, Lalitpur have one group they also need food, water, and medicine, one of them has low pressure.",https://twitter.com/XMagar/status/592311934642360320
26-Apr,twitter,HR/Sitrep2,central,lalitpur,chyasal,NA,need,sanitation,group in need of sanitation,"Near Chyasal, Lalitpur have one group they also need food, water, and medicine, one of them has low pressure.",https://twitter.com/XMagar/status/592311934642360320
26-Apr,twitter,HR/Sitrep2,central,lalitpur,chyasal,NA,need,medical,group in need of medicine,"Near Chyasal, Lalitpur have one group they also need food, water, and medicine, one of them has low pressure.",https://twitter.com/XMagar/status/592311934642360320
26-Apr,twitter,HR/Sitrep2,central,lalitpur,chyasal,NA,observation,medical,one in group has low blood pressure,"Near Chyasal, Lalitpur have one group they also need food, water, and medicine, one of them has low pressure.",https://twitter.com/XMagar/status/592311934642360320
26-Apr,twitter,HR/Sitrep2,western,rasuwa,langtang village,NA,observation,general assessment,avalanche overwhelms langtang village; 100 dead,"Langtang Village (coordinates: 28.266701,85.616699). Langtang is a region in Nepal to the north of Kathmandu and bordering Tibet. Avalanche overwhelms Langtang village, over 100 feared dead |",https://twitter.com/RepublicaNepal/status/592223021605068800
26-Apr,facebook,HR/Sitrep2,central,kavrepalanchok,NA,NA,observation,casualties,death toll at 60,"District east of Kathmandu. Reported death toll at 60. Earthquake destroyed hospital, road building in Kavre district of Nepal. Dhulikhel hospital, Scheer memorial hospital in Banepa managing emergency situation. Threat of landslides.",https://www.facebook.com/dhulikhelnepal
26-Apr,facebook,HR/Sitrep2,central,kavrepalanchok,NA,hospital,observation,damage,earthquake destroyed hospital,"District east of Kathmandu. Reported death toll at 60. Earthquake destroyed hospital, road building in Kavre district of Nepal. Dhulikhel hospital, Scheer memorial hospital in Banepa managing emergency situation. Threat of landslides.",https://www.facebook.com/dhulikhelnepal
26-Apr,facebook,HR/Sitrep2,central,kavrepalanchok,NA,dhulikhell hospital,observation,medical,hospital managing situation,"District east of Kathmandu. Reported death toll at 60. Earthquake destroyed hospital, road building in Kavre district of Nepal. Dhulikhel hospital, Scheer memorial hospital in Banepa managing emergency situation. Threat of landslides.",https://www.facebook.com/dhulikhelnepal
26-Apr,facebook,HR/Sitrep2,central,kavrepalanchok,banepa,scheer hospital,observation,medical,hospital managing situation,"District east of Kathmandu. Reported death toll at 60. Earthquake destroyed hospital, road building in Kavre district of Nepal. Dhulikhel hospital, Scheer memorial hospital in Banepa managing emergency situation. Threat of landslides.",https://www.facebook.com/dhulikhelnepal
26-Apr,facebook,HR/Sitrep2,central,kavrepalanchok,NA,NA,observation,general assessment,threat of landslides,"District east of Kathmandu. Reported death toll at 60. Earthquake destroyed hospital, road building in Kavre district of Nepal. Dhulikhel hospital, Scheer memorial hospital in Banepa managing emergency situation. Threat of landslides.",https://www.facebook.com/dhulikhelnepal
26-Apr,twitter,HR/Sitrep2,western,nuwakot,NA,NA,observation,casualties,126 deaths,"Bagmati zone district north of Kathmandu.State TV reports 126 deaths. Most houses destroyed, lack of tents or shelter as it continues to rain. (",https://twitter.com/kewalrai713
26-Apr,twitter,HR/Sitrep2,central,nuwakot,NA,NA,observation,damage,most houses destroyed,"Bagmati zone district north of Kathmandu.State TV reports 126 deaths. Most houses destroyed, lack of tents or shelter as it continues to rain. (",https://twitter.com/kewalrai714
26-Apr,twitter,HR/Sitrep2,central,nuwakot,NA,NA,need,shelter,lack of shelter/tents,"Bagmati zone district north of Kathmandu.State TV reports 126 deaths. Most houses destroyed, lack of tents or shelter as it continues to rain. (",https://twitter.com/kewalrai715
26-Apr,twitter,HR/Sitrep2,central,rasuwa,NA,NA,observation,damage,most buildings destroyed,"Smallest district in the Bagmati zone, about 120km north of Kathmandu. Most buildings destroyed. Reported 17 army personnel and 60 people trapped under rubble in Trisuli hydropower tunnel, Rasuwa.",https://twitter.com/PallaviDhakal https://twitter.com/TirthaRajJoshi1
26-Apr,twitter,HR/Sitrep2,central,rasuwa,trisuli hydropower tunnel,NA,observation,search&rescue,17 army personnel and 60 people trapped under rubble,"Smallest district in the Bagmati zone, about 120km north of Kathmandu. Most buildings destroyed. Reported 17 army personnel and 60 people trapped under rubble in Trisuli hydropower tunnel, Rasuwa.",https://twitter.com/PallaviDhakal https://twitter.com/TirthaRajJoshi2
26-Apr,twitter,HR/Sitrep2,central,dolakha,NA,NA,observation,damage,many houses destroyed; poor mostly affected,Part of the Janakpur zone north of Katmandu. Many houses destroyed. Poor mostly affected.,https://twitter.com/markturin
26-Apr,facebook,HR/Sitrep2,western,lamjung,NA,NA,observation,damage,much damage; at epicenter earthquake,"District of mainly agricultural villages northwest of Kathmandu. At earthquake’s epicenter. Lamjung and others need immediate rescue operations. Entire villages have been damaged.These places...need immediate relief like food, water, and tents.",https://www.facebook.com/norbert.gottlieb/posts/699995520111634
26-Apr,facebook,HR/Sitrep2,western,lamjung,NA,NA,need,nutrition,villages need food,"District of mainly agricultural villages northwest of Kathmandu. At earthquake’s epicenter. Lamjung and others need immediate rescue operations. Entire villages have been damaged.These places...need immediate relief like food, water, and tents.",https://www.facebook.com/norbert.gottlieb/posts/699995520111634
26-Apr,facebook,HR/Sitrep2,western,lamjung,NA,NA,need,sanitation,villages need water,"District of mainly agricultural villages northwest of Kathmandu. At earthquake’s epicenter. Lamjung and others need immediate rescue operations. Entire villages have been damaged.These places...need immediate relief like food, water, and tents.",https://www.facebook.com/norbert.gottlieb/posts/699995520111634
26-Apr,facebook,HR/Sitrep2,western,lamjung,NA,NA,need,shelter,villages need tents,"District of mainly agricultural villages northwest of Kathmandu. At earthquake’s epicenter. Lamjung and others need immediate rescue operations. Entire villages have been damaged.These places...need immediate relief like food, water, and tents.",https://www.facebook.com/norbert.gottlieb/posts/699995520111634
26-Apr,facebook,HR/Sitrep2,western,tanahun,bandipur,NA,observation,damage,poor parts of town heavily impacted,"Bandipur (coordinates: 27.923820,84.405197) - On the road between Kdu and Pokhara, poorer areas of the town heavily impacted. (in comments following main post)",https://www.facebook.com/groups/2327188993/permalink/10152822269553994/
26-Apr,facebook,HR/Sitrep2,central,dhading,NA,NA,need,nutrition,villages need food,"Lush farming district outside Kathmandu. Dhading...and others need immediate rescue operations. Entire villages have been damaged. These places...need immediate relief like food, water, and tents. (",https://www.facebook.com/groups/2327188993/permalink/10152822269553994/
26-Apr,facebook,HR/Sitrep2,central,dhading,NA,NA,need,sanitation,villages need water,"Lush farming district outside Kathmandu. Dhading...and others need immediate rescue operations. Entire villages have been damaged. These places...need immediate relief like food, water, and tents. (",https://www.facebook.com/groups/2327188993/permalink/10152822269553994/
26-Apr,facebook,HR/Sitrep2,central,dhading,NA,NA,need,shelter,villages need tents,"Lush farming district outside Kathmandu. Dhading...and others need immediate rescue operations. Entire villages have been damaged. These places...need immediate relief like food, water, and tents. (",https://www.facebook.com/groups/2327188993/permalink/10152822269553994/
26-Apr,news media,HR/Sitrep2,central,dhading,NA,NA,observation,population behavior,people camped outside,"People camped in the open, the hospital was overflowing, the power was off and shops were closed. Many people have lost their homes. Many people have died.",http://news.yahoo.com/kathmandu-valley-quake-hit-nepalis-fend-themselves-131104487.html
26-Apr,news media,HR/Sitrep2,central,dhading,NA,NA,observation,medical,hospital was overloaded,"People camped in the open, the hospital was overflowing, the power was off and shops were closed. Many people have lost their homes. Many people have died.",http://news.yahoo.com/kathmandu-valley-quake-hit-nepalis-fend-themselves-131104487.html
26-Apr,news media,HR/Sitrep2,central,dhading,NA,NA,observation,damage,much damage,"People camped in the open, the hospital was overflowing, the power was off and shops were closed. Many people have lost their homes. Many people have died.",http://news.yahoo.com/kathmandu-valley-quake-hit-nepalis-fend-themselves-131104487.html
26-Apr,news media,HR/Sitrep2,central,dhading,NA,NA,observation,casualties,high number of casualties,"People camped in the open, the hospital was overflowing, the power was off and shops were closed. Many people have lost their homes. Many people have died.",http://news.yahoo.com/kathmandu-valley-quake-hit-nepalis-fend-themselves-131104487.html
26-Apr,twitter,HR/Sitrep2,western,gorkha,NA,NA,need,medical,doctors and nurses for a medical team,Doctors and nurses are needed for a medical team headed to Gorkha. They should contact @ajayuprety (9813550495) asap,https://twitter.com/brabimkumar/status/592207216943374336
26-Apr,twitter,HR/Sitrep2,NA,NA,NA,NA,need,medical,shortage of certain blood types,Blood donations - apparently shortage of certain types. Please call Dr. Manita at 98510-84500 at Nepal Red Cross Blood Bank.,https://twitter.com/KanakManiDixit/status/592175693343031297
26-Apr,news media,HR/Sitrep2,central,kathmandu,NA,grande international,observation,medical,hospital damaged,"In Kathmandu: ""Grande International is badly cracked and all the patients have been evacuated,” she said. “Another hospital, Norvick, has also been badly damaged. They're seeing patients outside across the road. The main hospital, which is called Teaching Hospital, is fully functioning. All the new buildings downtown are OK.""",http://www.latimes.com/world/asia/la-fg-nepal-quake-aftershock-20150426-story.html#page=1
26-Apr,news media,HR/Sitrep2,central,kathmandu,NA,norvic international hospital,observation,medical,hospital damaged,"In Kathmandu: ""Grande International is badly cracked and all the patients have been evacuated,” she said. “Another hospital, Norvick, has also been badly damaged. They're seeing patients outside across the road. The main hospital, which is called Teaching Hospital, is fully functioning. All the new buildings downtown are OK.""",http://www.latimes.com/world/asia/la-fg-nepal-quake-aftershock-20150426-story.html#page=2
26-Apr,news media,HR/Sitrep2,central,kathmandu,NA,teaching hospital,observation,medical,hospital fully functioning,"In Kathmandu: ""Grande International is badly cracked and all the patients have been evacuated,” she said. “Another hospital, Norvick, has also been badly damaged. They're seeing patients outside across the road. The main hospital, which is called Teaching Hospital, is fully functioning. All the new buildings downtown are OK.""",http://www.latimes.com/world/asia/la-fg-nepal-quake-aftershock-20150426-story.html#page=3
26-Apr,news media,HR/Sitrep2,central,kathmandu,NA,kathmandu national trauma centre,observation,medical,operating but overcrowded,Kathmandu National Trauma Centre is operating but very overcrowded.,http://www.ndtv.com/world-news/nepals-hospitals-swamped-as-number-of-deaths-crosses-2-400-mark-thousands-injured-758341
26-Apr,news media,HR/Sitrep2,central,kathmandu,NA,kathmandu medical college,observation,medical,operating but overcrowded,Kathmandu Medical College is operating but very overcrowded.,http://www.reuters.com/article/2015/04/26/us-quake-nepal-collapse-idUSKBN0NG07B20150426?feedType=RSS&feedName=topNews http://www.independent.co.uk/news/world/asia/nepal-earthquake-doctors-forced-to-operate-in-tents-as-hospitals-are-overwhelmed--and-shocks-keep-coming-10205637.html
