date,type,source,author,region,district,location1,location2,type,label,description,text
42119,crowdsourced,news media,HR/Sitrep1,eastern,solukhumbu,everest,NA,observation,casualties,"1,000 climbers including 400 foreigners at basecamp/on Everest during earthquake","Nepalese tourism official Gyanendra Shrestha reported to Reuters, ""The toll could go up, it may include foreigners as well as sherpas (guides),""Ministry officials estimated that at least 1,000 climbers, including about 400 foreigners, had been at base camp or on Everest when the earthquake struck."
42119,crowdsourced,news media,HR/Sitrep1,eastern,solukhumbu,everest,NA,observation,general assessment,avalanche between khumbu icefall and base camp,"Ang Tshering of the Nepal Mountaineering Association, told Sky News “that the avalanche apparently happened between the Khumbu Icefall and base camp”"
42128,crowdsourced,news media,HR/Sitrep11,NA,NA,NA,NA,need,sanitation,need to establish communal latrines,"communal latrines need to be constructed immediately in order to prevent further contamination of limited water supplies and provide for displaced populations, those without shelter or no access due to damage. Given the scale of the damage to infrastructure near the epicentre of the quake, rehabilitation of water supplies will take time, so it is essential that humanitarian agencies assist the government by providing people affected with clean, safe water supplies."
42128,crowdsourced,twitter,HR/Sitrep11,NA,NA,NA,NA,observation,sanitation,pre-monsoon rains wash feces into open water sources; main cause of diarrhoea,Pre-monsoon rains washing village feces into open water sources is the main cause of diarrhea in May/June in Nepal.
42128,crowdsourced,facebook,HR/Sitrep11,central,bhaktapur,bhaktapur city,NA,observation,sanitation,75% of water pipe network destroyed,"75% of Bhaktapur City’s (27.672222, 85.427778) water pipe network and people's home water tanks are destroyed. Water is needed. People are urged to check their water tanks for cracks or other damage."
42128,crowdsourced,facebook,HR/Sitrep11,central,bhaktapur,bhaktapur city,NA,need,sanitation,water needed,"75% of Bhaktapur City’s (27.672222, 85.427778) water pipe network and people's home water tanks are destroyed. Water is needed. People are urged to check their water tanks for cracks or other damage."
42128,crowdsourced,online community,HR/Sitrep11,central,rasuwa,NA,NA,observation,transport,transport difficult because of langslides,"Parts of the remote Himalayan district of Rasuwa have been cut off since Nepal's massive earthquake triggered a series of landslides. An Indian helicopter's finally arrived with aid and work is at last underway to unblock vital road links. Indian Air Force officials say the relief effort is picking up speed. ""These helicopters have been able to pull out about 800-plus casualties, including badly injured ones, and about 2, 000-plus individuals who were stranded."""
42129,crowdsourced,online community,HR/Sitrep11,central,dhading,NA,NA,observation,sanitation,no safe drinking water sources,"Presently, some areas, including Dhading, Nuwakot, and Makanwanpur have no safe drinking water sources, and other districts have limited sources."
42129,crowdsourced,online community,HR/Sitrep11,central,nuwakot,NA,NA,observation,sanitation,no safe drinking water sources,"Presently, some areas, including Dhading, Nuwakot, and Makanwanpur have no safe drinking water sources, and other districts have limited sources."
42129,crowdsourced,online community,HR/Sitrep11,central,makwanpur,NA,NA,observation,sanitation,no safe drinking water sources,"Presently, some areas, including Dhading, Nuwakot, and Makanwanpur have no safe drinking water sources, and other districts have limited sources."
42129,crowdsourced,facebook,HR/Sitrep11,central,dhading,jitpur,NA,need,general assessment,in need of aid but not received,Jitpur-8 has not received aid. (
42129,crowdsourced,facebook,HR/Sitrep11,central,dolakha,maga pauw,NA,need,general assessment,in need of aid but not received,"Maga pauwa-3 and Gauri mukhe-5, 6 have not received aid."
42129,crowdsourced,facebook,HR/Sitrep11,central,dolakha,gauri mukhe,NA,need,general assessment,in need of aid but not received,"Maga pauwa-3 and Gauri mukhe-5, 6 have not received aid."
42129,crowdsourced,facebook,HR/Sitrep11,central,kathmandu,chobhar,charghare,need,nutrition,food needed for <100 households,"Charghare, Chobhar (27.666667, 85.283333) needs food, shelter materials, and blankets. Its only 20 minutes road distance from the Balkhu section of the ring road and is accessible from Taudaha or Kritipur. The village has less than 100 households and more than 70 % of the houses have collapsed."
42129,crowdsourced,facebook,HR/Sitrep11,central,kathmandu,chobhar,charghare,need,nutrition,shelter materials needed  for <100 households,"Charghare, Chobhar (27.666667, 85.283333) needs food, shelter materials, and blankets. Its only 20 minutes road distance from the Balkhu section of the ring road and is accessible from Taudaha or Kritipur. The village has less than 100 households and more than 70 % of the houses have collapsed."
42129,crowdsourced,facebook,HR/Sitrep11,central,kathmandu,chobhar,charghare,observation,damage,70% of houses collapsed,"Charghare, Chobhar (27.666667, 85.283333) needs food, shelter materials, and blankets. Its only 20 minutes road distance from the Balkhu section of the ring road and is accessible from Taudaha or Kritipur. The village has less than 100 households and more than 70 % of the houses have collapsed."
42129,crowdsourced,twitter,HR/Sitrep11,central,kathmandu,kirtipur,NA,observation,nutrition,have sufficient food for at least one week,"Survivors in Kirtipur have sufficient food for at least one week. Panga, Lower Guth, and Upper Guth are the areas most affected. They are also in need of sanitation."
42129,crowdsourced,twitter,HR/Sitrep11,central,kathmandu,panga,NA,observation,general assessment,among areas most affected in kathmandu,"Survivors in Kirtipur have sufficient food for at least one week. Panga, Lower Guth, and Upper Guth are the areas most affected. They are also in need of sanitation."
42129,crowdsourced,twitter,HR/Sitrep11,central,kathmandu,lower guth,NA,observation,general assessment,among areas most affected in kathmandu,"Survivors in Kirtipur have sufficient food for at least one week. Panga, Lower Guth, and Upper Guth are the areas most affected. They are also in need of sanitation."
42129,crowdsourced,twitter,HR/Sitrep11,central,kathmandu,upper guth,NA,observation,general assessment,among areas most affected in kathmandu,"Survivors in Kirtipur have sufficient food for at least one week. Panga, Lower Guth, and Upper Guth are the areas most affected. They are also in need of sanitation."
42129,crowdsourced,twitter,HR/Sitrep11,central,kathmandu,panga,NA,need,sanitation,in need of sanitation,"Survivors in Kirtipur have sufficient food for at least one week. Panga, Lower Guth, and Upper Guth are the areas most affected. They are also in need of sanitation."
42129,crowdsourced,twitter,HR/Sitrep11,central,kathmandu,lower guth,NA,need,sanitation,in need of sanitation,"Survivors in Kirtipur have sufficient food for at least one week. Panga, Lower Guth, and Upper Guth are the areas most affected. They are also in need of sanitation."
42129,crowdsourced,twitter,HR/Sitrep11,central,kathmandu,upper guth,NA,need,sanitation,in need of sanitation,"Survivors in Kirtipur have sufficient food for at least one week. Panga, Lower Guth, and Upper Guth are the areas most affected. They are also in need of sanitation."
42129,crowdsourced,facebook,HR/Sitrep11,western,gorkha,takukot,NA,need,general assessment,not received aid; need assistance,"Takukot-9 has not received aid, and about 150 families in Manakamana need food."
42129,crowdsourced,facebook,HR/Sitrep11,western,gorkha,manakamana,NA,need,nutrition,150 families need nutrition,"Takukot-9 has not received aid, and about 150 families in Manakamana need food."
42129,crowdsourced,twitter,HR/Sitrep11,western,gorkha,laprak,NA,observation,damage,completely destroyed,"Laprak (28.221206, 84.796818), Sirdibas (28.41,84.8), (28.410000, 84.8), Keraju, Machhakhola (28.232523, 84.874708), Lapsibot (27.559339, 85.552203), Gumda (28.210000, 84.83), Uhiya (28.300000, 84.883333), and Singla (28.224192, 84.837243) have all been completely destroyed"
42129,crowdsourced,twitter,HR/Sitrep11,western,gorkha,sirdibas,NA,observation,damage,completely destroyed,"Laprak (28.221206, 84.796818), Sirdibas (28.41,84.8), (28.410000, 84.8), Keraju, Machhakhola (28.232523, 84.874708), Lapsibot (27.559339, 85.552203), Gumda (28.210000, 84.83), Uhiya (28.300000, 84.883333), and Singla (28.224192, 84.837243) have all been completely destroyed"
42129,crowdsourced,twitter,HR/Sitrep11,western,gorkha,keraju,NA,observation,damage,completely destroyed,"Laprak (28.221206, 84.796818), Sirdibas (28.41,84.8), (28.410000, 84.8), Keraju, Machhakhola (28.232523, 84.874708), Lapsibot (27.559339, 85.552203), Gumda (28.210000, 84.83), Uhiya (28.300000, 84.883333), and Singla (28.224192, 84.837243) have all been completely destroyed"
42129,crowdsourced,twitter,HR/Sitrep11,western,gorkha,machhakhola,NA,observation,damage,completely destroyed,"Laprak (28.221206, 84.796818), Sirdibas (28.41,84.8), (28.410000, 84.8), Keraju, Machhakhola (28.232523, 84.874708), Lapsibot (27.559339, 85.552203), Gumda (28.210000, 84.83), Uhiya (28.300000, 84.883333), and Singla (28.224192, 84.837243) have all been completely destroyed"
42129,crowdsourced,twitter,HR/Sitrep11,western,gorkha,lapsibot,NA,observation,damage,completely destroyed,"Laprak (28.221206, 84.796818), Sirdibas (28.41,84.8), (28.410000, 84.8), Keraju, Machhakhola (28.232523, 84.874708), Lapsibot (27.559339, 85.552203), Gumda (28.210000, 84.83), Uhiya (28.300000, 84.883333), and Singla (28.224192, 84.837243) have all been completely destroyed"
42129,crowdsourced,twitter,HR/Sitrep11,western,gorkha,gumda,NA,observation,damage,completely destroyed,"Laprak (28.221206, 84.796818), Sirdibas (28.41,84.8), (28.410000, 84.8), Keraju, Machhakhola (28.232523, 84.874708), Lapsibot (27.559339, 85.552203), Gumda (28.210000, 84.83), Uhiya (28.300000, 84.883333), and Singla (28.224192, 84.837243) have all been completely destroyed"
42129,crowdsourced,twitter,HR/Sitrep11,western,gorkha,uhiya,NA,observation,damage,completely destroyed,"Laprak (28.221206, 84.796818), Sirdibas (28.41,84.8), (28.410000, 84.8), Keraju, Machhakhola (28.232523, 84.874708), Lapsibot (27.559339, 85.552203), Gumda (28.210000, 84.83), Uhiya (28.300000, 84.883333), and Singla (28.224192, 84.837243) have all been completely destroyed"
42129,crowdsourced,twitter,HR/Sitrep11,western,gorkha,singla,NA,observation,damage,completely destroyed,"Laprak (28.221206, 84.796818), Sirdibas (28.41,84.8), (28.410000, 84.8), Keraju, Machhakhola (28.232523, 84.874708), Lapsibot (27.559339, 85.552203), Gumda (28.210000, 84.83), Uhiya (28.300000, 84.883333), and Singla (28.224192, 84.837243) have all been completely destroyed"
42129,crowdsourced,twitter,HR/Sitrep11,western,gorkha,laprak,NA,observation,transport,cannot be reached by helicopter,Laprak cannot be reached by helicopter and needs tents and food.
42129,crowdsourced,twitter,HR/Sitrep11,western,gorkha,laprak,NA,need,shelter,tents needed,Laprak cannot be reached by helicopter and needs tents and food.
42129,crowdsourced,twitter,HR/Sitrep11,western,gorkha,laprak,NA,need,nutrition,food needed,Laprak cannot be reached by helicopter and needs tents and food.
42129,crowdsourced,facebook,HR/Sitrep11,central,kavrepalanchok,tinchili,NA,need,general assessment,have not received aid; need assistance,"Villages that have not received aid: Tinchili, Bata, Mathi, Danwar gau."
42129,crowdsourced,facebook,HR/Sitrep11,central,kavrepalanchok,bata,NA,need,general assessment,have not received aid; need assistance,"Villages that have not received aid: Tinchili, Bata, Mathi, Danwar gau."
42129,crowdsourced,facebook,HR/Sitrep11,central,kavrepalanchok,mathi,NA,need,general assessment,have not received aid; need assistance,"Villages that have not received aid: Tinchili, Bata, Mathi, Danwar gau."
42129,crowdsourced,facebook,HR/Sitrep11,central,kavrepalanchok,danwar gau,NA,need,general assessment,have not received aid; need assistance,"Villages that have not received aid: Tinchili, Bata, Mathi, Danwar gau."
42129,crowdsourced,facebook,HR/Sitrep11,western,lamjung,bichar,NA,need,general assessment,have not received aid; need assistance,Bichar has still not received aid.
42129,crowdsourced,facebook,HR/Sitrep11,central,nuwakot,samundra devi,NA,observation,damage,855 houses collapsed,"Samundradevi V.D.C. (27.830000, 85.35) needs help. 855 houses have collapsed. People there are having a very hard time. They need tents, blankets, food items, water purifiers, sanitation kits, and medicines"
42129,crowdsourced,facebook,HR/Sitrep11,central,nuwakot,samundra devi,NA,need,shelter,tents and blankets needed,"Samundradevi V.D.C. (27.830000, 85.35) needs help. 855 houses have collapsed. People there are having a very hard time. They need tents, blankets, food items, water purifiers, sanitation kits, and medicines"
42129,crowdsourced,facebook,HR/Sitrep11,central,nuwakot,samundra devi,NA,need,nutrition,food needed,"Samundradevi V.D.C. (27.830000, 85.35) needs help. 855 houses have collapsed. People there are having a very hard time. They need tents, blankets, food items, water purifiers, sanitation kits, and medicines"
42129,crowdsourced,facebook,HR/Sitrep11,central,nuwakot,samundra devi,NA,need,sanitation,water purifier and sanitation kis,"Samundradevi V.D.C. (27.830000, 85.35) needs help. 855 houses have collapsed. People there are having a very hard time. They need tents, blankets, food items, water purifiers, sanitation kits, and medicines"
42129,crowdsourced,facebook,HR/Sitrep11,central,nuwakot,samundra devi,NA,need,medical,medicines needed,"Samundradevi V.D.C. (27.830000, 85.35) needs help. 855 houses have collapsed. People there are having a very hard time. They need tents, blankets, food items, water purifiers, sanitation kits, and medicines"
42129,crowdsourced,facebook,HR/Sitrep11,central,nuwakot,belkot-1,NA,need,general assessment,have not received aid; need assistance,Belkot-1 and Dhikure have not received aid.
42129,crowdsourced,facebook,HR/Sitrep11,central,nuwakot,dhikure,NA,need,general assessment,have not received aid; need assistance,Belkot-1 and Dhikure have not received aid.
42129,crowdsourced,facebook,HR/Sitrep11,central,sindhupalchok,bade gau,NA,need,general assessment,not received aid; need assistance,Villages that haven’t received aid yet include: Bade Gau and Ramche
42129,crowdsourced,facebook,HR/Sitrep11,central,sindhupalchok,ramche,NA,need,general assessment,not received aid; need assistance,Villages that haven’t received aid yet include: Bade Gau and Ramche
42129,crowdsourced,facebook,HR/Sitrep11,central,sindhuli,dewrali,NA,need,general assessment,not received aid; need assistance,Dewrali tar-4.6 and Solpathana VDC have not received aid
42129,crowdsourced,facebook,HR/Sitrep11,central,sindhuli,solpathana,NA,need,general assessment,not received aid; need assistance,Dewrali tar-4.6 and Solpathana VDC have not received aid
42129,crowdsourced,facebook,HR/Sitrep11,western,kaski,annapurna base camp,NA,observation,general assessment,exiting base camp is difficult but doable,"The exit from Annapurna BC is slow. Trekkers have to traverse Nilgiri face, and there is deep snow on passes."
42129,crowdsourced,twitter,HR/Sitrep11,eastern,solukhumbu,makalu,NA,observation,casualties,all European trekkers fine; casualties among locals,"A trusted source reports that all the Europeans who were trekking in Makalu are safe, but there were a few casualties among the locals. The region lies on the eastern side and received little damage compared to western Nepal. All those missing are expected to show up soon"
42129,crowdsourced,online community,HR/Sitrep11,NA,NA,NA,NA,need,medical,relief workers should carry lime(chuna) to infect carcasses,"Relief agencies should carry lime (chuna) to disinfect carcasses to decrease disease spread. Mass vaccinations of livestock in affected areas is also recommended. Due to stress and sanitation issues livestock is vulnerable to infectious diseases such as bird and swine flue, foot and mouth disease, and respiratory problems. Animal Nepal has three medical teams that go out each day in Lalitpur and Kathmandu district to treat sick and injured livestock"
42129,crowdsourced,online community,HR/Sitrep11,NA,NA,NA,NA,need,medical,mass vaccination of livestock,"Relief agencies should carry lime (chuna) to disinfect carcasses to decrease disease spread. Mass vaccinations of livestock in affected areas is also recommended. Due to stress and sanitation issues livestock is vulnerable to infectious diseases such as bird and swine flue, foot and mouth disease, and respiratory problems. Animal Nepal has three medical teams that go out each day in Lalitpur and Kathmandu district to treat sick and injured livestock"
42120,crowdsourced,personal contacts/email,HR/Sitrep2,central,kathmandu,,ashram orphanage,need,children,"100 children in need of water, food, shelter","Ashram Orphanage (coordinates: 27.684744,85.285492) Ashram staff report that 100 children in need of water, food and shelter after severe damage to orphanage www.auronepal.net. via email sent to Humanityroad requesting help."
42120,crowdsourced,facebook,HR/Sitrep2,central,kathmandu,dhulikhel area,,need,medical,medical transport for girl with head fracture,Medical Transport (coordinates: Dhulikhel area) Need medical transport for girl with head fracture
42120,crowdsourced,personal contacts/email,HR/Sitrep2,central,kathmandu,,DDC Dairy Corp,need,children,"45 orphans and caretakers in  need of food, water, shelter","Near DDC Dairy Corp (coordinates: 27.717527, 85.315946) Group of 45 orphans and caretakers without food, water and shelter. Moving between buildings and nearby fields for shelter - near DDC dairy Corp - via email to Humanityroad requesting help."
42120,crowdsourced,twitter,HR/Sitrep2,central,kathmandu,NA,cremation site,observation,medical,site filled with bodies; unable to cut wood for cremating bodies,"Pashupati Ghat, Khatmandu - (the cremation site inside the Pashupatinath temple on the banks of river Bagmati, in the Gaushala/chahbil area). (coordinates: 27.709722, 85.348611) Radio reports Pashupati Ghat is filled with bodies. They haven't been able to cut wood to cremate bodies because of a lack of electricity."
42120,crowdsourced,twitter,HR/Sitrep2,central,kathmandu,thaiti,NA,need,nutrition,100 people need food,"Thaiti, in Khatmandu. Unconfirmed report that about 100 people need food."
42120,crowdsourced,twitter,HR/Sitrep2,central,kathmandu,NA,bir hospital,need,medical,list of medical supplies needed,"Bir Hospital (coordinates 27.705005,85.31346) List of Medical Supplies needed"
42120,crowdsourced,twitter,HR/Sitrep2,central,kathmandu,sankhu,NA,observation,damage,90% of buildings collapsed,"Sankhu, Khatmandu district (coordinates: 27.513321,85.335869). Main town of Pukhulachhi Village Development Committee (VDC) in the northwestern Kathmandu Valley of Nepal. Unconfirmed reports that 90% of buildings have been destroyed, 400 people have died, there is no ambulance, and no rescue teams have arrived."
42120,crowdsourced,twitter,HR/Sitrep2,central,kathmandu,sankhu,NA,observation,casualties,400 people died,"Sankhu, Khatmandu district (coordinates: 27.513321,85.335869). Main town of Pukhulachhi Village Development Committee (VDC) in the northwestern Kathmandu Valley of Nepal. Unconfirmed reports that 90% of buildings have been destroyed, 400 people have died, there is no ambulance, and no rescue teams have arrived."
42120,crowdsourced,twitter,HR/Sitrep2,central,kathmandu,sankhu,NA,need,medical,need for ambulance,"Sankhu, Khatmandu district (coordinates: 27.513321,85.335869). Main town of Pukhulachhi Village Development Committee (VDC) in the northwestern Kathmandu Valley of Nepal. Unconfirmed reports that 90% of buildings have been destroyed, 400 people have died, there is no ambulance, and no rescue teams have arrived."
42120,crowdsourced,twitter,HR/Sitrep2,central,kathmandu,sankhu,NA,need,search&rescue,need for rescue teams,"Sankhu, Khatmandu district (coordinates: 27.513321,85.335869). Main town of Pukhulachhi Village Development Committee (VDC) in the northwestern Kathmandu Valley of Nepal. Unconfirmed reports that 90% of buildings have been destroyed, 400 people have died, there is no ambulance, and no rescue teams have arrived."
42120,crowdsourced,facebook,HR/Sitrep2,central,kathmandu,NA,tribhuvan university teaching hospital,observation,medical,people transported from Sindhupalchowk,"Tribhuvan University Teaching Hospital (coordinates: 27.680790,85.283760) - “This could be my last message until Electricity is restored. I walk this ghostly hallways up and down dont know what to do.Sometime I feel like this all is a dream. people suffering,hurting and in pain everywhere. A bus full of injured just arrived from Sindhupalchok, 36 hours and god knows how many thousands are waiting in dark isolated places. there are 270 dead bodies cramped in rooms next to where our desk is.Time and again we run out of medicines,water, food, mask, gloves and what not. People are sleeping in open and prone to all kind of diseases. This is heavy ....... Very heavy ! Sigh …”"
42120,crowdsourced,facebook,HR/Sitrep2,central,kathmandu,NA,tribhuvan university teaching hospital,observation,casualties,270 dead bodies in hospital,"Tribhuvan University Teaching Hospital (coordinates: 27.680790,85.283760) - “This could be my last message until Electricity is restored. I walk this ghostly hallways up and down dont know what to do.Sometime I feel like this all is a dream. people suffering,hurting and in pain everywhere. A bus full of injured just arrived from Sindhupalchok, 36 hours and god knows how many thousands are waiting in dark isolated places. there are 270 dead bodies cramped in rooms next to where our desk is.Time and again we run out of medicines,water, food, mask, gloves and what not. People are sleeping in open and prone to all kind of diseases. This is heavy ....... Very heavy ! Sigh …”"
42120,crowdsourced,facebook,HR/Sitrep2,central,kathmandu,NA,tribhuvan university teaching hospital,need,medical,lack of medicine/medical equipment,"Tribhuvan University Teaching Hospital (coordinates: 27.680790,85.283760) - “This could be my last message until Electricity is restored. I walk this ghostly hallways up and down dont know what to do.Sometime I feel like this all is a dream. people suffering,hurting and in pain everywhere. A bus full of injured just arrived from Sindhupalchok, 36 hours and god knows how many thousands are waiting in dark isolated places. there are 270 dead bodies cramped in rooms next to where our desk is.Time and again we run out of medicines,water, food, mask, gloves and what not. People are sleeping in open and prone to all kind of diseases. This is heavy ....... Very heavy ! Sigh …”"
42120,crowdsourced,facebook,HR/Sitrep2,central,kathmandu,NA,tribhuvan university teaching hospital,need,sanitation,lack of water,"Tribhuvan University Teaching Hospital (coordinates: 27.680790,85.283760) - “This could be my last message until Electricity is restored. I walk this ghostly hallways up and down dont know what to do.Sometime I feel like this all is a dream. people suffering,hurting and in pain everywhere. A bus full of injured just arrived from Sindhupalchok, 36 hours and god knows how many thousands are waiting in dark isolated places. there are 270 dead bodies cramped in rooms next to where our desk is.Time and again we run out of medicines,water, food, mask, gloves and what not. People are sleeping in open and prone to all kind of diseases. This is heavy ....... Very heavy ! Sigh …”"
42120,crowdsourced,twitter,HR/Sitrep2,western,gorkha,NA,NA,observation,damage,80% of buildings destroyed,Reports of 80% of parts of Gorkha destroyed and search & rescue and medical help urgently needed
42120,crowdsourced,twitter,HR/Sitrep2,western,gorkha,NA,NA,need,search&rescue,manpower for s&r needed,Reports of 80% of parts of Gorkha destroyed and search & rescue and medical help urgently needed
42120,crowdsourced,twitter,HR/Sitrep2,western,gorkha,NA,NA,need,medical,medical help needed,Reports of 80% of parts of Gorkha destroyed and search & rescue and medical help urgently needed
42120,crowdsourced,twitter,HR/Sitrep2,western,gorkha,NA,NA,observation,casualties,94 deaths counted,"According to the Gorkha Police District Office, 94 died so far in Gorkha. Rescue is going on but more manpower is needed"
42120,crowdsourced,facebook,HR/Sitrep2,western,gorkha,thalidada village,NA,observation,damage,all houses destroyed,"“We are stuck in a village between Barpak and Balua in Gorkha region...we are in the plains. Exact location is near Thalidada village, which is also near to Mandre village. Also I can't contact anyone, network is really bad. Embassy numbers not reachable. Battery is going to die soon. Please try to help. People are homeless, no food, all houses are destroyed, many are hurt badly, some people died in front of us, still ground is shaking every 15-30 minutes.”"
42120,crowdsourced,facebook,HR/Sitrep2,western,gorkha,thalidada village,NA,observation,shelter,people are homeless,"“We are stuck in a village between Barpak and Balua in Gorkha region...we are in the plains. Exact location is near Thalidada village, which is also near to Mandre village. Also I can't contact anyone, network is really bad. Embassy numbers not reachable. Battery is going to die soon. Please try to help. People are homeless, no food, all houses are destroyed, many are hurt badly, some people died in front of us, still ground is shaking every 15-30 minutes.”"
42120,crowdsourced,facebook,HR/Sitrep2,western,gorkha,thalidada village,NA,observation,shocks,aftershocks felt every 15-30mins,"“We are stuck in a village between Barpak and Balua in Gorkha region...we are in the plains. Exact location is near Thalidada village, which is also near to Mandre village. Also I can't contact anyone, network is really bad. Embassy numbers not reachable. Battery is going to die soon. Please try to help. People are homeless, no food, all houses are destroyed, many are hurt badly, some people died in front of us, still ground is shaking every 15-30 minutes.”"
42120,crowdsourced,facebook,HR/Sitrep2,western,gorkha,thalidada village,NA,need,nutrition,people need food,"“We are stuck in a village between Barpak and Balua in Gorkha region...we are in the plains. Exact location is near Thalidada village, which is also near to Mandre village. Also I can't contact anyone, network is really bad. Embassy numbers not reachable. Battery is going to die soon. Please try to help. People are homeless, no food, all houses are destroyed, many are hurt badly, some people died in front of us, still ground is shaking every 15-30 minutes.”"
42120,crowdsourced,facebook,HR/Sitrep2,western,gorkha,thalidada village,NA,need,medical,"many badly hurt, need help","“We are stuck in a village between Barpak and Balua in Gorkha region...we are in the plains. Exact location is near Thalidada village, which is also near to Mandre village. Also I can't contact anyone, network is really bad. Embassy numbers not reachable. Battery is going to die soon. Please try to help. People are homeless, no food, all houses are destroyed, many are hurt badly, some people died in front of us, still ground is shaking every 15-30 minutes.”"
42120,crowdsourced,online community,HR/Sitrep2,western,gorkha,barpak,NA,observation,damage,all but 4 of 1200 houses destroyed,"Barpak (coordinates:28.210368,84.742003) - Barpak is a village situated in the northern part of the Gorkha district. It is located about 1900 m above sea level. Report of all but 4 of the 1200 houses destroyed. Village has been reached by helicopter and 120 wounded evacuated."
42120,crowdsourced,facebook,HR/Sitrep2,western,gorkha,NA,NA,observation,damage,catastrophical damage and no access in remote parts of gorkha,"Villages in remote parts of Gorkha have catastrophic damage and no access to medical help. Areas are inaccessible due to destroyed roads. Several villages on hills completely fell off. Villagers are stranded and need medical help, food, water, shelter, and search and rescue help. People are still trapped."
42120,crowdsourced,facebook,HR/Sitrep2,western,gorkha,NA,NA,need,medical,medical aid needed,"Villages in remote parts of Gorkha have catastrophic damage and no access to medical help. Areas are inaccessible due to destroyed roads. Several villages on hills completely fell off. Villagers are stranded and need medical help, food, water, shelter, and search and rescue help. People are still trapped."
42120,crowdsourced,facebook,HR/Sitrep2,western,gorkha,NA,NA,need,nutrition,food needed,"Villages in remote parts of Gorkha have catastrophic damage and no access to medical help. Areas are inaccessible due to destroyed roads. Several villages on hills completely fell off. Villagers are stranded and need medical help, food, water, shelter, and search and rescue help. People are still trapped."
42120,crowdsourced,facebook,HR/Sitrep2,western,gorkha,NA,NA,need,sanitation,water needed,"Villages in remote parts of Gorkha have catastrophic damage and no access to medical help. Areas are inaccessible due to destroyed roads. Several villages on hills completely fell off. Villagers are stranded and need medical help, food, water, shelter, and search and rescue help. People are still trapped."
42120,crowdsourced,facebook,HR/Sitrep2,western,gorkha,NA,NA,need,shelter,shelter needed,"Villages in remote parts of Gorkha have catastrophic damage and no access to medical help. Areas are inaccessible due to destroyed roads. Several villages on hills completely fell off. Villagers are stranded and need medical help, food, water, shelter, and search and rescue help. People are still trapped."
42120,crowdsourced,facebook,HR/Sitrep2,western,gorkha,NA,NA,need,search&rescue,s&r help,"Villages in remote parts of Gorkha have catastrophic damage and no access to medical help. Areas are inaccessible due to destroyed roads. Several villages on hills completely fell off. Villagers are stranded and need medical help, food, water, shelter, and search and rescue help. People are still trapped."
42120,crowdsourced,twitter,HR/Sitrep2,central,lalitpur,NA,NA,observation,general assessment,no power,No power and no water supply.
