date,source,author,region,district,location1,location2,type,label,description,text
01-May,NA,UN/Sitrep8,central,bhaktapur,NA,camps,need,sanitation,regular water supply,"""The camps urgently need food, emergency shelter and regular water supply."""
04-May,NA,UN/Sitrep10,central,bhaktapur,NA,NA,observation,damage,municipal government buildings damaged,"""The main building of the District Development Committees (DDC) in Dolakha and Sindhupalchowk and five municipal government buildings in Bhaktapur, Ramecchap, Manthali, Chautara and Melamchi are damaged."""
04-May,NA,UN/Sitrep10,central,bhaktapur,NA,NA,need,general assessment,office space to facilitate delivery of public services,"""Alternative office space is needed to facilitate delivery of public services."""
13-May,government,UN/Sitrep14,central,bhaktapur,NA,NA,observation,general assessment,district affected by new earthquake,"""According to the Government, a total of 32 districts were affected including those still recovering from the 25 April earthquake such as"""
13-May,NA,UN/Sitrep14,central,bhaktapur,NA,bhaktapur hospital,observation,medical,sections of hospital damaged,"""The 12 May earthquake damaged sections of the Patan Hospital (Kathmandu), Sukraraj Tropical Hospital and Bhaktapur Hospital."""
29-May,NA,UN/Sitrep19,central,bhaktapur,NA,NA,observation,general assessment,among the most affected districts,"""The most affected districts are Sindhupalchowk, Rasuwa, Bhaktapur and Bhelukhel."""
25-Apr,government,UN/Sitrep1,central,chitwan,NA,NA,observation,medical,well staffed,"""Chitwan and Pokhara which both are well staffed"""
26-Apr,NA,UN/Sitrep3,central,dhading,NA,NA,observation,general assessment,added to list of most affected districts,"""The most affected districts are Dhading, Gorkha, Rasuwa, Sindhupalchowk, Kavre, Nuwakot, Dolakha, Kathmandu, Lalitpur, Bhaktapur and Ramecchap."""
28-Apr,NA,UN/Sitrep5,central,dhading,NA,NA,observation,nutrition,food assistance already dispatched,"""The cluster has dispatched food assistance to Gorkha and Dhading with existin gin country food stocks"""
28-Apr,NA,UN/Sitrep5,central,dhading,NA,NA,observation,damage,at least 90% of houses are damaged,"""A scoping mission conducted in Gorkha, Lamjung and Dhading, where at least 90 percent of the houses are damaged"""
29-Apr,NA,UN/Sitrep6,central,dhading,NA,NA,observation,general assessment,(inter)national relief efforts now in nine districts,"""National and international rescue and relief efforts have expanded to nine districts"""
29-Apr,NA,UN/Sitrep6,central,dhading,NA,NA,need,nutrition,identified for immediate food assistance,"""Twelve districts have been identified for immediate food assistance"""
29-Apr,NA,UN/Sitrep6,central,dhading,NA,NA,observation,general assessment,landslides,"""Landslides in Gorkha and Dhading district have delayed the distribution of food assistance to affected people."""
29-Apr,NA,UN/Sitrep6,central,dhading,NA,NA,need,medical,"priority district for health intervention. Medical tents, medicines","""are the 11 priority districts for health intervention where medical tents with 50 bed capacity, essential medicine, and services in camps are urgently needed."""
29-Apr,NA,UN/Sitrep6,central,dhading,NA,NA,observation,general assessment,identified as district generally most in need (on priority list),"""The most affected districts are being reported to be """
30-Apr,government,UN/Sitrep7,central,dhading,NA,NA,observation,damage,district with the highest number of destroyed houses,"""The districts with the highest numer of damaged houses are Nuwakot, Dhading, Kathmandu and Lalitpur."""
30-Apr,NA,UN/Sitrep7,central,dhading,NA,NA,need,medical,need critical health services,"""Eleven districts need critical health services."""
02-May,NA,UN/Sitrep9,central,dhading,NA,NA,observation,damage,over 80% of houses destroyed,"""Across large parts of Dhading, Dolakha, Rasuwa and Nuwakot, more than 80 per cent of houses has been flattened."""
02-May,food security cluster,UN/Sitrep9,central,dhading,NA,NA,observation,population behavior,relief trucks have been stopped,"""According to the Food Security Cluster, relief trucks have been stopped and diverted by communities in Dhading District and Sankhu Village Development Committee (VDC) in Kathmandu District."""
02-May,NA,UN/Sitrep9,central,dhading,NA,NA,observation,population behavior,trucks carrying food were diverted,"""Two trucks carrying food were reportedly diverted in Dhading and Sankhu."""
06-May,NA,UN/Sitrep11,central,dhading,NA,NA,observation,damage,district with highest rate of destruction,"""based on Government data, the highest rates of destruction and damage to housing are reported in"""
11-May,NA,UN/Sitrep13,central,dhading,NA,NA,observation,shelter,reports of spontaneous settlements,"""DTM teams were deployed to Makwanpur and Dhading districts to verify reports of spontaneous settlements set up by people who lost their homes."""
13-May,NA,UN/Sitrep14,central,dhading,NA,NA,need,communication,tents for radio stations,"""The 12 May earthquake severely damaged radio equipment and buildings in Dhading, Dolakha and Sindhupalchowk districts. There is an urgent need for tents, generator and fuel supply to ensure that radio stations continue broadcasting and collecting information from affected communities."""
13-May,NA,UN/Sitrep14,central,dhading,NA,NA,need,communication,generators for radio station,"""The 12 May earthquake severely damaged radio equipment and buildings in Dhading, Dolakha and Sindhupalchowk districts. There is an urgent need for tents, generator and fuel supply to ensure that radio stations continue broadcasting and collecting information from affected communities."""
13-May,NA,UN/Sitrep14,central,dhading,NA,NA,need,communication,fuel supply for radio station,"""The 12 May earthquake severely damaged radio equipment and buildings in Dhading, Dolakha and Sindhupalchowk districts. There is an urgent need for tents, generator and fuel supply to ensure that radio stations continue broadcasting and collecting information from affected communities."""
13-May,NA,UN/Sitrep14,central,dhading,NA,NA,observation,population behavior,incidents of domestic violence dismissed by local police,"""In Kavre, Dhadhing and Nuwakot districts, some incidents of domestic violence have been reportedly dismissed by the local police."""
15-May,multi-national military coordination centre,UN/Sitrep15,central,dhading,nilkhantha,NA,observation,transport,landslide blocks road from dharka to marpak,"""The Multi-National Military Coordination Centre is reporting that the aftershock on 15 May at 7:30 am in Dhadhing District has caused a landslide at Nikhantha Village Development Committee (VDC), blocking the road from Dharkha to Marpak."""
15-May,NA,UN/Sitrep15,central,dhading,NA,NA,observation,damage,district development committee offices severely damaged,"""As a result of the 12 May earthquake, an additional 11 District Development Committee (DDC) offices in Dolaka, Kavre, Dhading and Makwanpur have been severely damaged and the Sindhuli DDC office is partially damaged"""
18-May,NA,UN/Sitrep16,central,dhading,NA,NA,observation,nutrition,not possible to plant rice anymore - focus now on vegetable seeds/keeping livestock alive,"""As the 7-day window and availability of rice seeds are closing for six disricts. The focus is shiting to procurement of vegetable seeds, millet and tarpaulins to keep current livestock alive before the onset of the monsoon rains."""
21-May,NA,UN/Sitrep17,central,dhading,NA,NA,need,children,need for schools to reopen,"""Local authorities expressed the need for education services to resume in order for children to gain a sense of normalcy."""
21-May,NA,UN/Sitrep17,central,dhading,NA,NA,need,nutrition,"286,000 households across 6 districts need livelihood support for agricultural inputs","""Approximately 286,000 households in six districts need immediate livelhood support for agricultural inputs."""
25-May,NA,UN/Sitrep18,central,dhading,laapa,NA,observation,transport,inaccessible by road,"""Five VDC in Dhading District are still inaccessible by road; 90 per cent of the buildings are destroyed and 10 per cent are damaged in these VDCs."""
25-May,NA,UN/Sitrep18,central,dhading,tipling,NA,observation,transport,inaccessible by road,"""Five VDC in Dhading District are still inaccessible by road; 90 per cent of the buildings are destroyed and 10 per cent are damaged in these VDCs."""
25-May,NA,UN/Sitrep18,central,dhading,setuu,NA,observation,transport,inaccessible by road,"""Five VDC in Dhading District are still inaccessible by road; 90 per cent of the buildings are destroyed and 10 per cent are damaged in these VDCs."""
25-May,NA,UN/Sitrep18,central,dhading,ruhi,NA,observation,transport,inaccessible by road,"""Five VDC in Dhading District are still inaccessible by road; 90 per cent of the buildings are destroyed and 10 per cent are damaged in these VDCs."""
25-May,NA,UN/Sitrep18,central,dhading,gaun,NA,observation,transport,inaccessible by road,"""Five VDC in Dhading District are still inaccessible by road; 90 per cent of the buildings are destroyed and 10 per cent are damaged in these VDCs."""
25-May,NA,UN/Sitrep18,central,dhading,laapa,NA,observation,damage,90% of buildings destroyed; 10% damaged,"""Five VDC in Dhading District are still inaccessible by road; 90 per cent of the buildings are destroyed and 10 per cent are damaged in these VDCs."""
25-May,NA,UN/Sitrep18,central,dhading,tipling,NA,observation,damage,90% of buildings destroyed; 10% damaged,"""Five VDC in Dhading District are still inaccessible by road; 90 per cent of the buildings are destroyed and 10 per cent are damaged in these VDCs."""
25-May,NA,UN/Sitrep18,central,dhading,setuu,NA,observation,damage,90% of buildings destroyed; 10% damaged,"""Five VDC in Dhading District are still inaccessible by road; 90 per cent of the buildings are destroyed and 10 per cent are damaged in these VDCs."""
25-May,NA,UN/Sitrep18,central,dhading,ruhi,NA,observation,damage,90% of buildings destroyed; 10% damaged,"""Five VDC in Dhading District are still inaccessible by road; 90 per cent of the buildings are destroyed and 10 per cent are damaged in these VDCs."""
25-May,NA,UN/Sitrep18,central,dhading,gaun,NA,observation,damage,90% of buildings destroyed; 10% damaged,"""Five VDC in Dhading District are still inaccessible by road; 90 per cent of the buildings are destroyed and 10 per cent are damaged in these VDCs."""
25-May,NA,UN/Sitrep18,central,dhading,laapa,NA,need,damage,debris removal,"""Support for early recovery activities including debris removal were requested by authorities."""
25-May,NA,UN/Sitrep18,central,dhading,tipling,NA,need,damage,debris removal,"""Support for early recovery activities including debris removal were requested by authorities."""
25-May,NA,UN/Sitrep18,central,dhading,setuu,NA,need,damage,debris removal,"""Support for early recovery activities including debris removal were requested by authorities."""
25-May,NA,UN/Sitrep18,central,dhading,ruhi,NA,need,damage,debris removal,"""Support for early recovery activities including debris removal were requested by authorities."""
25-May,NA,UN/Sitrep18,central,dhading,gaun,NA,need,damage,debris removal,"""Support for early recovery activities including debris removal were requested by authorities."""
29-May,NA,UN/Sitrep19,central,dhading,NA,NA,observation,nutrition,"236,000 farmers in these areas - 50% have lost 75% of rice seeds","""there is a high loss of seeds in these districts with half the farmers having lost over 75% of their rice seeds"""
29-May,NA,UN/Sitrep19,central,dhading,NA,NA,observation,nutrition,"out of 35% of farmers using irrigation, 70% report damage to irrigation","""Out of the 35% of farmers using irrigation, 70% reported substantial to severe damages on irrigation"""
29-May,NA,UN/Sitrep19,central,dhading,NA,NA,need,population behavior,safe spaces for women/children,"""Safe spaces for women and their children are required as incidents of gender based violence (GBV) have been reported in temporary shelters in Dhading, Nuwakot and Kavre"""
29-May,NA,UN/Sitrep19,central,dhading,NA,NA,observation,population behavior,gender-based violence,"""Safe spaces for women and their children are required as incidents of gender based violence (GBV) have been reported in temporary shelters in Dhading, Nuwakot and Kavre"""
03-Jun,NA,UN/Sitrep20,central,dhading,NA,NA,observation,transport,7 hard-to-reach villages have not been accessed b/c of road debris,"""Relief organizations have not been able to access all seven hard-to-reach VDCs in Dhading and 11 in Dolkaha due to road debris."""
25-Apr,NA,UN/Sitrep1,central,dolakha,NA,NA,observation,general assessment,area is affected,"""Among the most affected districts are"""
28-Apr,NA,UN/Sitrep5,central,dolakha,district head quarters,NA,observation,medical,hospitals partially damaged,"""the hospitals in DHQ of Dolakha, Nuwakot are partially damaged"""
29-Apr,NA,UN/Sitrep6,central,dolakha,NA,NA,need,nutrition,identified for immediate food assistance,"""Twelve districts have been identified for immediate food assistance"""
29-Apr,NA,UN/Sitrep6,central,dolakha,NA,NA,need,medical,"priority district for health intervention. Medical tents, medicines","""are the 11 priority districts for health intervention where medical tents with 50 bed capacity, essential medicine, and services in camps are urgently needed."""
29-Apr,NA,UN/Sitrep6,central,dolakha,NA,NA,observation,general assessment,identified as district generally most in need (on priority list),"""The most affected districts are being reported to be """
30-Apr,NA,UN/Sitrep7,central,dolakha,NA,NA,need,medical,need critical health services,"""Eleven districts need critical health services."""
02-May,NA,UN/Sitrep9,central,dolakha,NA,NA,observation,damage,over 80% of houses destroyed,"""Across large parts of Dhading, Dolakha, Rasuwa and Nuwakot, more than 80 per cent of houses has been flattened."""
02-May,NA,UN/Sitrep9,central,dolakha,NA,NA,observation,children,extent of damage to schools not clear,"""Information on the full extent of damage to educational facilities in Gorkha, Sindhupalchowk, Dolkaha and Rasuwa districts is still not available."""
04-May,NA,UN/Sitrep10,central,dolakha,NA,NA,observation,population behavior,security incidents,"""Security incidents continue to be reported in Dolakha District."""
04-May,NA,UN/Sitrep10,central,dolakha,NA,NA,observation,damage,main building of District Development Committee damaged,"""The main building of the District Development Committees (DDC) in Dolakha and Sindhupalchowk and five municipal government buildings in Bhaktapur, Ramecchap, Manthali, Chautara and Melamchi are damaged."""
04-May,NA,UN/Sitrep10,central,dolakha,NA,NA,need,general assessment,office space to facilitate delivery of public services,"""Alternative office space is needed to facilitate delivery of public services."""
11-May,NA,UN/Sitrep13,central,dolakha,NA,NA,observation,general assessment,people near highways have received more aid than those in remote areas,"""indicated that people residing near the highway have received more relief materials than those in the remote areas."""
13-May,NA,UN/Sitrep14,central,dolakha,chilankha,NA,observation,shocks,another major earthquake: 7.3 magnitude,"""Two weeks after the devastating 7.8 magnitude earthquake that hit Nepal, another major earthquake measuring 7.3 in magnitude struck near Chilankha Village Development Committee (VDC) in Dolakha District on 12 May."""
13-May,government,UN/Sitrep14,central,dolakha,NA,NA,observation,general assessment,district affected by new earthquake,"""According to the Government, a total of 32 districts were affected including those still recovering from the 25 April earthquake such as"""
13-May,NA,UN/Sitrep14,central,dolakha,NA,NA,observation,damage,a large number of houses damaged,"""In Dolakha District, a large number of houses were damaged by the 12 May earthquake."""
13-May,NA,UN/Sitrep14,central,dolakha,bhirkot,NA,observation,transport,debris from landslides damaged roads,"""Debris from landslides […] damaged roads."""
13-May,NA,UN/Sitrep14,central,dolakha,lakuridada,NA,observation,transport,debris from landslides damaged roads,"""Debris from landslides […] damaged roads."""
13-May,NA,UN/Sitrep14,central,dolakha,NA,NA,need,communication,tents for radio stations,"""The 12 May earthquake severely damaged radio equipment and buildings in Dhading, Dolakha and Sindhupalchowk districts. There is an urgent need for tents, generator and fuel supply to ensure that radio stations continue broadcasting and collecting information from affected communities."""
13-May,NA,UN/Sitrep14,central,dolakha,NA,NA,need,communication,generators for radio station,"""The 12 May earthquake severely damaged radio equipment and buildings in Dhading, Dolakha and Sindhupalchowk districts. There is an urgent need for tents, generator and fuel supply to ensure that radio stations continue broadcasting and collecting information from affected communities."""
13-May,NA,UN/Sitrep14,central,dolakha,NA,NA,need,communication,fuel supply for radio station,"""The 12 May earthquake severely damaged radio equipment and buildings in Dhading, Dolakha and Sindhupalchowk districts. There is an urgent need for tents, generator and fuel supply to ensure that radio stations continue broadcasting and collecting information from affected communities."""
13-May,NA,UN/Sitrep14,central,dolakha,charikot,NA,need,damage,clearing up debris from 2nd quake,"""This has further increase the amount of debris which needs to be cleared."""
13-May,NA,UN/Sitrep14,central,dolakha,NA,NA,observation,children,more educational infrastructure destroyed,"""The earthquake on 12 May destroyed additional educational infrastructure in Sindhupalchowk, Dolakha and Ramechhap districts."""
15-May,NA,UN/Sitrep15,central,dolakha,charikot,NA,observation,damage,additional damage from 12 may quake: over 50% of houses unhabitable,"""There were reports of additional damage to already vulnerable buildings following the 12 May quake."""
15-May,NA,UN/Sitrep15,central,dolakha,singati,NA,observation,damage,total devastation of homes,"""Further north, in Singati and surrounding villages, the assessment team observed total devastation of hoes and reported limited supplies of food and water."""
15-May,NA,UN/Sitrep15,central,dolakha,singati,NA,need,nutrition,food supplies,"""Further north, in Singati and surrounding villages, the assessment team observed total devastation of hoes and reported limited supplies of food and water."""
15-May,NA,UN/Sitrep15,central,dolakha,singati,NA,need,sanitation,water supplies,"""Further north, in Singati and surrounding villages, the assessment team observed total devastation of hoes and reported limited supplies of food and water."""
15-May,NA,UN/Sitrep15,central,dolakha,NA,NA,observation,damage,district development committee offices severely damaged,"""As a result of the 12 May earthquake, an additional 11 District Development Committee (DDC) offices in Dolaka, Kavre, Dhading and Makwanpur have been severely damaged and the Sindhuli DDC office is partially damaged"""
15-May,NA,UN/Sitrep15,central,dolakha,NA,NA,observation,damage,"assessment teams cannot access remote VDCs (aftershocks, landslides)","""are unable to reach remote VDCs due to the risk of aftershocks, landslides and further building collapse."""
15-May,NA,UN/Sitrep15,central,dolakha,NA,NA,observation,damage,very high level of destruction (up to 100%) in dolakha,"""After the 12 May earthquake, there are reports of a very high level of destruction in Dolakha (in some areas up to 100 per cent)."""
15-May,NA,UN/Sitrep15,central,dolakha,NA,NA,need,shelter,tarpaulins,"""There is a continued need for tarpaulins and blankets."""
15-May,NA,UN/Sitrep15,central,dolakha,NA,NA,need,shelter,blankets,"""There is a continued need for tarpaulins and blankets."""
18-May,NA,UN/Sitrep16,central,dolakha,charikot,NA,observation,shelter,shelter needs of tenants (vs. home owners) is a concern,"""Shelter needs of tenants are a concern"""
18-May,NA,UN/Sitrep16,central,dolakha,NA,NA,observation,nutrition,not possible to plant rice anymore - focus now on vegetable seeds/keeping livestock alive,"""As the 7-day window and availability of rice seeds are closing for six disricts. The focus is shiting to procurement of vegetable seeds, millet and tarpaulins to keep current livestock alive before the onset of the monsoon rains."""
21-May,NA,UN/Sitrep17,central,dolakha,charikot,NA,observation,damage,debris management is particularly a challenge here,"""Demolition of damaged buildings and debris management is a significant challenge particularly in Charikot and northern-most VDCs in other districts."""
21-May,NA,UN/Sitrep17,central,dolakha,NA,NA,need,shelter,land suitability assessments for temporary displacement sites,"""Land suitability assessments for temporary displacement sites are yet to start in"""
21-May,NA,UN/Sitrep17,central,dolakha,NA,NA,need,nutrition,"286,000 households across 6 districts need livelihood support for agricultural inputs","""Approximately 286,000 households in six districts need immediate livelhood support for agricultural inputs."""
29-May,NA,UN/Sitrep19,central,dolakha,NA,NA,observation,nutrition,"236,000 farmers in these areas - 50% have lost 75% of rice seeds","""there is a high loss of seeds in these districts with half the farmers having lost over 75% of their rice seeds"""
29-May,NA,UN/Sitrep19,central,dolakha,NA,NA,observation,nutrition,"out of 35% of farmers using irrigation, 70% report damage to irrigation","""Out of the 35% of farmers using irrigation, 70% reported substantial to severe damages on irrigation"""
03-Jun,NA,UN/Sitrep20,central,dolakha,NA,NA,observation,transport,11 hard-to-reach villages have not been accessed b/c of road debris,"""Relief organizations have not been able to access all seven hard-to-reach VDCs in Dhading and 11 in Dolkaha due to road debris."""
25-Apr,NA,UN/Sitrep1,western,gorkha,NA,NA,observation,general assessment,area is very affected,"""Most affected areas are Gorkha and Lamjung Districts (north-west of Kathmandu)."""
25-Apr,government,UN/Sitrep1,western,gorkha,NA,NA,observation,medical,teams are sent to Gorkha,"""are sending medical teams to worst affected areas - Gorkha and Lamjung"""
26-Apr,NA,UN/Sitrep2,western,gorkha,NA,NA,observation,medical,severe damage but unclear if hospitals operational,"""In Gorkha, damage is very severe though unclear whether hospitals are operational."""
26-Apr,NA,UN/Sitrep2,western,gorkha,NA,NA,observation,damage,in some ares 80% houses destroyed,"""Four teams being sent to Gorkha where it is estimated that in some areas, 80% of houses are gone."""
28-Apr,NA,UN/Sitrep5,western,gorkha,NA,NA,observation,damage,80% of infrastructure affected,"""Clarity is required to identify site/camp set up in Gorkha district where 80 per cent of the infrastructure has been affected."""
28-Apr,NA,UN/Sitrep5,western,gorkha,NA,NA,need,shelter,need to identify location for camp,"""Clarity is required to identify site/camp set up in Gorkha district where 80 per cent of the infrastructure has been affected."""
28-Apr,NA,UN/Sitrep5,western,gorkha,NA,NA,observation,nutrition,food assistance already dispatched,"""The cluster has dispatched food assistance to Gorkha and Dhading with existin gin country food stocks"""
28-Apr,NA,UN/Sitrep5,western,gorkha,outside district headquarters,NA,observation,medical,60-90% of healthcare facilities severely damaged,"""In terms of health infrastructure, preliminary information ondicated that most of the health facilities (60-90% outside the district headquarters (DHQ) of Ramecchapp, Nuwakot, Sindhupalchowk and Gorkha have been severely damaged"""
28-Apr,NA,UN/Sitrep5,western,gorkha,NA,NA,observation,damage,at least 90% of houses are damaged,"""A scoping mission conducted in Gorkha, Lamjung and Dhading, where at least 90 percent of the houses are damaged"""
29-Apr,NA,UN/Sitrep6,western,gorkha,NA,NA,observation,general assessment,(inter)national relief efforts now in nine districts,"""National and international rescue and relief efforts have expanded to nine districts"""
29-Apr,NA,UN/Sitrep6,western,gorkha,NA,NA,need,nutrition,identified for immediate food assistance,"""Twelve districts have been identified for immediate food assistance"""
29-Apr,NA,UN/Sitrep6,western,gorkha,NA,NA,observation,general assessment,landslides,"""Landslides in Gorkha and Dhading district have delayed the distribution of food assistance to affected people."""
29-Apr,NA,UN/Sitrep6,western,gorkha,NA,NA,need,medical,"priority district for health intervention. Medical tents, medicines","""are the 11 priority districts for health intervention where medical tents with 50 bed capacity, essential medicine, and services in camps are urgently needed."""
29-Apr,NA,UN/Sitrep6,western,gorkha,NA,NA,observation,general assessment,identified as district generally most in need (on priority list),"""The most affected districts are being reported to be """
30-Apr,NA,UN/Sitrep7,western,gorkha,NA,NA,need,medical,need critical health services,"""Eleven districts need critical health services."""
01-May,UNDAC team (United Nations Disaster Assessment and Coordination),UN/Sitrep8,western,gorkha,NA,NA,need,shelter,tents and blankets,"""In Gorkha, the UNDAC team has found that there is a dire need for shelter, particularly tents and blankets."""
01-May,NA,UN/Sitrep8,western,gorkha,NA,NA,observation,transport,access to remote villages is difficult - no landing zones,"""Access to some remote villages remains a key challenge as many landing zones are unsafe due to debris, altitude and current weather conditions."""
01-May,NA,UN/Sitrep8,western,gorkha,NA,NA,observation,transport,road access is limited,"""Road access is limited."""
01-May,NA,UN/Sitrep8,western,gorkha,NA,NA,observation,damage,damage to housing greatest in these areas,"""Many people continue to sleep in the open due to fear of aftershock and many more have lost their homes in the earthquake, particularly in Gorkha and Nuwakot."""
01-May,NA,UN/Sitrep8,western,gorkha,NA,NA,observation,general assessment,difficult to access,"""Access to Rasuwa and Gorkha districts continues to be a challenge."""
02-May,NA,UN/Sitrep9,western,gorkha,NA,NA,observation,damage,up to 90 per cent of houses destroyed,"""Up to 90 per cent of the houses in Gorkha and Sindupalchowk districts have been destroyed."""
02-May,NA,UN/Sitrep9,western,gorkha,NA,NA,observation,medical,influenza and diarrhoea,"""Health teams have been deployed to Gorkha and Sindhuli districts to respond to reports of influenza and diarrheal cases."""
02-May,NA,UN/Sitrep9,western,gorkha,NA,NA,observation,children,extent of damage to schools not clear,"""Information on the full extent of damage to educational facilities in Gorkha, Sindhupalchowk, Dolkaha and Rasuwa districts is still not available."""
06-May,NA,UN/Sitrep11,western,gorkha,NA,NA,observation,damage,district with highest rate of destruction,"""based on Government data, the highest rates of destruction and damage to housing are reported in"""
06-May,NA,UN/Sitrep11,western,gorkha,NA,NA,observation,shelter,shelter sought in village development headquarters,"""trigger movements of some of the affected people in surrounding areas towards the Gorkha VDC HQs"""
06-May,NA,UN/Sitrep11,western,gorkha,baguwa,village development committee headquarters,observation,shelter,834 people sought shelter here,"""In Baguwa VDC in Gorkha District, a new site accomodates 834 individuals that arrived from the surrounding areas."""
06-May,NA,UN/Sitrep11,western,gorkha,bihi,village development committee headquarters,need,damage,supplies must be air-dropped,"""Supplies need to be air-dropped to seven of the most remote VDCs in Gorkha District"""
06-May,NA,UN/Sitrep11,western,gorkha,chekampar,village development committee headquarters,need,damage,supplies must be air-dropped,"""Supplies need to be air-dropped to seven of the most remote VDCs in Gorkha District"""
06-May,NA,UN/Sitrep11,western,gorkha,chumpuk,village development committee headquarters,need,damage,supplies must be air-dropped,"""Supplies need to be air-dropped to seven of the most remote VDCs in Gorkha District"""
06-May,NA,UN/Sitrep11,western,gorkha,lho,village development committee headquarters,need,damage,supplies must be air-dropped,"""Supplies need to be air-dropped to seven of the most remote VDCs in Gorkha District"""
06-May,NA,UN/Sitrep11,western,gorkha,prok,village development committee headquarters,need,damage,supplies must be air-dropped,"""Supplies need to be air-dropped to seven of the most remote VDCs in Gorkha District"""
06-May,NA,UN/Sitrep11,western,gorkha,sanagaon,village development committee headquarters,need,damage,supplies must be air-dropped,"""Supplies need to be air-dropped to seven of the most remote VDCs in Gorkha District"""
06-May,NA,UN/Sitrep11,western,gorkha,sirdibas,village development committee headquarters,need,damage,supplies must be air-dropped,"""Supplies need to be air-dropped to seven of the most remote VDCs in Gorkha District"""
08-May,NA,UN/Sitrep12,western,gorkha,laprak,NA,observation,shocks,aftershocks cause landslides,"""Aftershocks continue, with two strong quakes recorded on 6 May causing additional landslides in rural areas, including in Laprak, Gunda and Lapu."""
08-May,NA,UN/Sitrep12,western,gorkha,gunda,NA,observation,shocks,aftershocks cause landslides,"""Aftershocks continue, with two strong quakes recorded on 6 May causing additional landslides in rural areas, including in Laprak, Gunda and Lapu."""
08-May,NA,UN/Sitrep12,western,gorkha,lapu,NA,observation,shocks,aftershocks cause landslides,"""Aftershocks continue, with two strong quakes recorded on 6 May causing additional landslides in rural areas, including in Laprak, Gunda and Lapu."""
08-May,NA,UN/Sitrep12,western,gorkha,laprak,NA,need,shelter,lack of shelter,"""In Laprak, humanitarian partners reported a lack of shelter, food, water and medicines."""
